"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Seville",2016,1,957533,7580.9,1.64,0,32.02,79.03,0.47,6.89,13.58,4859241.18,193607,3.98,54.39,1.85,11.06,32.69,180510,3909,0,9188,13.24,"20260226_024016",17799,385058567
"Seville",2016,2,957533,7603.87,1.63,0,32.63,77.3,2.62,6.68,13.37,4859241.18,193607,3.98,54.39,1.85,11.06,32.69,180510,3909,0,9188,13.24,"20260226_024016",17914,391526636
"Seville",2016,3,957533,7964.52,1.59,0,28.75,61.78,2.2,24.27,11.72,4859241.18,193607,3.98,54.39,1.85,11.06,32.69,180510,3909,0,9188,13.24,"20260226_024016",19184,522742574
"Seville",2016,4,957533,7622.25,1.48,0,13.16,34.72,1.28,16.1,47.87,4859241.18,193607,3.98,54.39,1.85,11.06,32.69,180510,3909,0,9188,13.24,"20260226_024016",19903,797516961
"Seville",2021,1,957533,7728.4,1.53,1.95,38.66,83.12,0.6,3.67,12.59,5191210.447,216187,4.16,53.58,2.37,9.08,34.96,196060,4349,0,15778,13.24,"20260226_024016",18507,400111590
"Seville",2021,2,957533,7761.18,1.52,2.07,38.56,81.05,3.09,3.53,12.31,5191210.447,216187,4.16,53.58,2.37,9.08,34.96,196060,4349,0,15778,13.24,"20260226_024016",18683,409633340
"Seville",2021,3,957533,7890.51,1.49,-0.93,33.57,68.15,3.09,17.79,10.95,5191210.447,216187,4.16,53.58,2.37,9.08,34.96,196060,4349,0,15778,13.24,"20260226_024016",19393,472211696
"Seville",2021,4,957533,7441.4,1.37,-2.37,13.55,34.18,1.81,11.1,52.89,5191210.447,216187,4.16,53.58,2.37,9.08,34.96,196060,4349,0,15778,13.24,"20260226_024016",19932,779026112
"Seville",2026,1,957533,7728.24,1.5,1.94,49.59,87.04,0.7,2.87,9.37,5586996.132,245640,4.4,55.7,2.98,7.81,33.52,225184,4213,1455,14788,13.24,"20260226_024016",18873,457462327
"Seville",2026,2,957533,7743.98,1.49,1.84,48.6,84.46,3.39,2.71,9.42,5586996.132,245640,4.4,55.7,2.98,7.81,33.52,225184,4213,1455,14788,13.24,"20260226_024016",19022,465668323
"Seville",2026,3,957533,7855.62,1.46,-1.37,40.44,73.72,3.67,14.24,8.36,5586996.132,245640,4.4,55.7,2.98,7.81,33.52,225184,4213,1455,14788,13.24,"20260226_024016",19598,511857829
"Seville",2026,4,957533,7444.17,1.37,-2.34,13.93,36.01,2.67,10.16,51.14,5586996.132,245640,4.4,55.7,2.98,7.81,33.52,225184,4213,1455,14788,13.24,"20260226_024016",19932,765188107
