"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",1676,1666,1727,1727,1727,0.0304295942720764
"2","2",2470,2693,2693,2733,2236,-0.0947368421052632
"3","3",2920,2992,2992,2992,2992,0.0246575342465753
"4","4",4457,4298,4299,4269,4176,-0.0630468925286067
"15067","15067",4457,4298,4299,4269,4176,-0.0630468925286067
"5","5",1609,1609,1568,1597,1613,0.00248601615910503
"6","6",1859,1859,1753,1753,1755,-0.0559440559440559
"16243","16243",1859,1859,1753,1753,1755,-0.0559440559440559
"7","7",6278,5269,5123,5143,5133,-0.182382924498248
"8","8",1767,1534,1422,1422,3302,0.868704018109791
"9","9",3423,3119,3111,3104,3108,-0.0920245398773006
"10","10",2263,2276,2276,2394,2634,0.163941670349094
"11","11",1508,1372,1378,1362,1478,-0.019893899204244
"12","12",3147,3237,3516,3536,3183,0.0114394661582459
"13","13",11337,11657,11657,11780,11462,0.0110258445796948
"14","14",2552,2525,2674,2674,2674,0.0478056426332288
"130","130",2552,2525,2674,2674,2674,0.0478056426332288
"15","15",3771,3430,2339,2339,2992,-0.206576504905861
"16","16",4392,4004,6281,3420,3822,-0.129781420765027
"18","18",4254,4252,3104,3104,3104,-0.270333803479079
"19","19",2140,2143,2145,2145,2097,-0.0200934579439252
"20","20",8262,8416,8768,8813,8771,0.0616073589929799
"21","21",7000,7000,6306,6315,5239,-0.251571428571429
"22","22",1533,1587,1721,1721,1757,0.146118721461187
"12534","12534",1533,1587,1721,1721,1757,0.146118721461187
"23","23",6532,7095,6318,6329,7654,0.171769748928353
"24","24",4445,4578,4118,4118,3930,-0.115860517435321
"25","25",3042,2707,2707,2704,3064,0.00723208415516108
"26","26",3701,3834,3685,3755,3806,0.0283707106187517
"27","27",534,534,468,468,468,-0.123595505617978
"28","28",2914,2925,2916,2905,2894,-0.00686341798215511
"29","29",2436,1766,2418,2447,2447,0.00451559934318555
"30","30",4840,4837,4796,4730,4565,-0.0568181818181818
"31","31",4479,4390,4419,4419,3988,-0.10962268363474
"32","32",7163,7340,7710,7729,7910,0.1042859137233
"13022","13022",7163,7340,7710,7729,7910,0.1042859137233
"33","33",8376,8625,7866,7823,7799,-0.0688872970391595
"34","34",959,959,1372,1372,1641,0.711157455683003
"35","35",1815,1815,1821,1713,1885,0.0385674931129477
"36","36",2612,2678,2642,2697,2729,0.0447932618683002
"37","37",1337,1337,1337,1461,1470,0.0994764397905759
"38","38",2603,2689,2558,2611,2611,0.00307337687283903
"39","39",2216,2217,2864,2864,2864,0.292418772563177
"40","40",1835,1834,1628,1627,3570,0.94550408719346
"41","41",1946,1901,1901,1901,1910,-0.0184994861253854
"12674","12674",1946,1901,1901,1901,1910,-0.0184994861253854
"15297","15297",1946,1901,1901,1901,1910,-0.0184994861253854
"42","42",2182,2373,1603,1603,1604,-0.264894592117324
"7675","7675",2182,2373,1603,1603,1604,-0.264894592117324
"18844","18844",2182,2373,1603,1603,1604,-0.264894592117324
"43","43",2433,2488,2454,2426,2404,-0.0119194410193177
"44","44",2459,2454,2563,2447,2112,-0.141114274095161
"45","45",6098,6097,3822,3822,3668,-0.398491308625779
"46","46",1590,1464,1464,1449,1447,-0.089937106918239
"11200","11200",1590,1464,1464,1449,1447,-0.089937106918239
"47","47",1817,1712,1716,1716,2402,0.321959273527793
"48","48",7082,6787,6522,6491,6525,-0.078650098842135
"49","49",5005,4862,4988,5494,5653,0.129470529470529
"50","50",3330,3343,3756,3673,3160,-0.0510510510510511
"51","51",7512,7473,7012,6850,7109,-0.0536474973375932
"52","52",4359,4359,4365,4749,4908,0.125946317962836
"53","53",7813,8491,9224,9285,9232,0.181620376295917
"54","54",3423,3240,3242,3447,3247,-0.051416885772714
"55","55",2922,2920,3123,2846,2589,-0.113963039014374
"56","56",2889,2890,2807,2807,2806,-0.0287296642436829
"58","58",6171,5644,5664,5679,5363,-0.130935018635553
"59","59",3560,3263,3394,3394,3225,-0.0941011235955056
"60","60",1694,1622,1599,1691,1622,-0.0425029515938607
"6697","6697",1694,1622,1599,1691,1622,-0.0425029515938607
"61","61",5106,5593,4749,4750,4508,-0.117117117117117
"62","62",2209,2072,1969,1722,1721,-0.220914440923495
"63","63",2978,3366,3030,3037,2966,-0.00402955003357958
"1255","1255",2978,3366,3030,3037,2966,-0.00402955003357958
"11738","11738",2978,3366,3030,3037,2966,-0.00402955003357958
"64","64",4375,4388,4225,4399,4225,-0.0342857142857143
"15420","15420",4375,4388,4225,4399,4225,-0.0342857142857143
"65","65",2509,2516,2516,2674,2594,0.0338780390593862
"6592","6592",2509,2516,2516,2674,2594,0.0338780390593862
"66","66",4599,4956,4954,5305,5359,0.165253315938247
"67","67",2294,2294,2259,2227,2227,-0.0292066259808195
"68","68",3219,3219,3219,3225,3225,0.00186393289841566
"69","69",1976,2574,2544,2539,2613,0.322368421052632
"70","70",3814,3934,3917,3912,3696,-0.0309386470896696
"71","71",8398,8485,8714,8512,8273,-0.0148844963086449
"72","72",2098,2252,2160,2309,2183,0.0405147759771211
"73","73",8289,4871,4838,4851,4851,-0.414766558089034
"74","74",2058,2174,2254,2254,2166,0.0524781341107872
"14969","14969",2058,2174,2254,2254,2166,0.0524781341107872
"75","75",1641,1566,1271,1271,1197,-0.270566727605119
"76","76",5480,5825,5827,6043,6046,0.103284671532847
"77","77",4827,5766,5518,5898,6080,0.259581520613217
"78","78",5716,5706,4256,4815,4724,-0.173547935619314
"79","79",1836,1837,1824,1824,1752,-0.0457516339869281
"80","80",5283,5474,5355,5336,5313,0.0056785917092561
"81","81",6604,6460,6407,6415,6562,-0.00635978195033313
"82","82",2293,2311,1949,1953,1961,-0.144788486698648
"83","83",3315,3317,3212,3198,2923,-0.118250377073906
"84","84",4412,4562,5204,5852,4601,0.0428377153218495
"85","85",1832,1867,1867,1472,1472,-0.196506550218341
"86","86",2634,2814,2908,1976,2429,-0.077828397873956
"6641","6641",2634,2814,2908,1976,2429,-0.077828397873956
"87","87",1215,1255,1263,1432,1718,0.413991769547325
"88","88",1554,1533,1529,1534,1571,0.0109395109395109
"18121","18121",1554,1533,1529,1534,1571,0.0109395109395109
"89","89",2561,3990,2686,2452,2532,-0.0113237016790316
"1253","1253",2561,3990,2686,2452,2532,-0.0113237016790316
"90","90",2665,2617,2552,2274,2358,-0.115196998123827
"91","91",1395,1395,1301,1301,1301,-0.0673835125448029
"92","92",11609,8842,9245,8795,8561,-0.262554914290637
"93","93",2409,2409,2409,2409,2590,0.0751349107513491
"94","94",4253,3470,3370,3374,3370,-0.207618151892782
"95","95",2834,2811,2809,2799,2806,-0.00988002822865208
"96","96",2877,2879,2825,2695,2698,-0.062217587765033
"97","97",1635,1019,1019,1019,1465,-0.103975535168196
"98","98",2728,2720,3967,3957,2723,-0.00183284457478006
"99","99",3748,3747,2461,2461,2461,-0.343383137673426
"100","100",2657,2504,2610,2524,2576,-0.0304855099736545
"101","101",8600,8524,8356,8272,7227,-0.159651162790698
"102","102",3527,3744,3912,3841,3592,0.0184292599943295
"103","103",4906,4990,4754,4738,4426,-0.0978393803505911
"14163","14163",4906,4990,4754,4738,4426,-0.0978393803505911
"104","104",3586,3773,4232,4232,4007,0.117401003904071
"5262","5262",3586,3773,4232,4232,4007,0.117401003904071
"105","105",1729,1729,1730,1775,1775,0.026604973973395
"106","106",2676,2677,2677,2705,2607,-0.0257847533632287
"107","107",1575,1575,1597,1597,1805,0.146031746031746
"108","108",4372,4524,3754,3850,3326,-0.239249771271729
"109","109",5795,5426,5644,5675,5281,-0.0886971527178602
"110","110",4970,4807,5529,5524,4214,-0.152112676056338
"111","111",2595,1409,1244,1244,1244,-0.520616570327553
"112","112",1777,1807,1793,1853,1853,0.0427687113111987
"113","113",1914,1863,2138,2137,2076,0.0846394984326019
"114","114",7341,6791,6488,5957,5903,-0.195886119057349
"115","115",8253,8512,8178,8181,8637,0.0465285350781534
"116","116",2320,3088,3963,3842,4462,0.923275862068966
"117","117",4109,4178,4615,4524,3861,-0.060355317595522
"118","118",6339,6329,6384,6746,6586,0.0389651364568544
"119","119",2319,2363,2410,2416,2273,-0.0198361362656317
"120","120",2764,2762,2775,3350,3069,0.110347322720695
"121","121",1843,1841,1842,1861,1861,0.00976668475311991
"6913","6913",1843,1841,1842,1861,1861,0.00976668475311991
"122","122",5583,5223,5375,5368,5115,-0.0838259000537346
"123","123",9685,9732,8849,9539,9450,-0.0242643262777491
"124","124",2745,3133,2828,2836,2856,0.0404371584699454
"1803","1803",2745,3133,2828,2836,2856,0.0404371584699454
"125","125",1954,1955,1955,1954,1955,0.000511770726714432
"13491","13491",1954,1955,1955,1954,1955,0.000511770726714432
"126","126",7317,7840,8005,7898,7994,0.0925242585759191
"127","127",3762,3904,3360,3336,3238,-0.139287612971823
"128","128",8250,7673,7651,7644,7534,-0.0867878787878788
"6090","6090",8250,7673,7651,7644,7534,-0.0867878787878788
"129","129",2898,2898,2898,2886,2876,-0.00759144237405107
"14938","14938",2898,2898,2898,2886,2876,-0.00759144237405107
"131","131",5429,5473,5703,5861,5330,-0.0182354024682262
"132","132",5250,5565,5914,5886,4870,-0.0723809523809524
"133","133",1154,1603,1603,1128,1129,-0.0216637781629116
"134","134",3426,3420,3440,3629,3902,0.138937536485698
"135","135",5454,5329,5340,5407,5401,-0.00971763843050972
"17321","17321",5454,5329,5340,5407,5401,-0.00971763843050972
"136","136",2063,2080,2093,2091,2091,0.0135724672806592
"137","137",3181,1245,2413,1988,1987,-0.375353662370324
"3952","3952",3181,1245,2413,1988,1987,-0.375353662370324
"138","138",1728,1601,1601,1597,1679,-0.0283564814814815
"139","139",1570,1568,1570,1503,1503,-0.0426751592356688
"140","140",3497,3718,3981,3994,4031,0.15270231627109
"141","141",6238,6236,3994,4129,4520,-0.275408784866945
"142","142",1027,1206,1345,1218,1215,0.183057448880234
"18414","18414",1027,1206,1345,1218,1215,0.183057448880234
"143","143",2024,2445,2445,2445,2359,0.165513833992095
"144","144",1471,1740,1573,1586,1558,0.0591434398368457
"145","145",3713,3709,3620,3620,3223,-0.131968758416375
"146","146",3581,3580,3524,3612,3496,-0.0237363864842223
"147","147",2424,2426,2316,1897,1544,-0.363036303630363
"148","148",1679,1680,1672,1672,1674,-0.00297796307325789
"149","149",6896,8186,8014,9080,8770,0.271751740139211
"150","150",2055,1830,1830,1867,1880,-0.0851581508515815
"151","151",2971,2208,2208,2208,2548,-0.142376304274655
"152","152",4508,4478,4478,4480,4480,-0.0062111801242236
"153","153",2595,2638,2637,2623,2766,0.0658959537572254
"154","154",1371,1369,1361,1361,1361,-0.00729394602479942
"155","155",6809,6875,6830,6289,6300,-0.0747540020561022
"156","156",4128,5497,3878,3878,4831,0.170300387596899
"157","157",5675,5620,5525,5681,5475,-0.0352422907488987
"158","158",5375,5374,5431,5373,3990,-0.257674418604651
"159","159",3505,3581,2121,1985,2060,-0.412268188302425
"160","160",3726,3638,3814,3808,3808,0.022007514761138
"161","161",7430,7381,7990,7975,7762,0.0446837146702557
"162","162",5310,5776,5811,5900,5553,0.0457627118644068
"163","163",5469,6072,6957,7414,7328,0.339915889559334
"164","164",3308,2968,3136,3120,3104,-0.0616686819830713
"165","165",2850,2850,3192,3192,3191,0.119649122807018
"166","166",3742,3785,3746,3746,3658,-0.0224478888295029
"167","167",3218,3028,3294,3294,3144,-0.0229956494717216
"168","168",10191,10339,9983,10588,11211,0.100088313217545
"169","169",1180,1248,1235,1235,1561,0.322881355932203
"12580","12580",1180,1248,1235,1235,1561,0.322881355932203
"14752","14752",1180,1248,1235,1235,1561,0.322881355932203
