"city","year","lts","found_routes","access_15min_vol"
"seville",16,3,19184,522742574
"seville",16,4,19903,797516961
"seville",21,3,19393,472211696
"seville",21,4,19932,779026112
"seville",26,3,19598,511857829
"seville",26,4,19932,765188107
"seville",16,1,19831,34251298
"seville",16,2,19833,34578351
"seville",19,1,19892,33907780
"seville",19,2,19893,34283091
"seville",21,1,19891,34119278
"seville",21,2,19894,34561003
"seville",24,1,19899,34158177
"seville",24,2,19901,34591937
"seville",26,1,19888,34163239
"seville",26,2,19892,34758204
