"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",9.1,9.1,9,9,9.1,9.1,9.1,9.1,9.1,9.1,1676,1676,1666,1666,1727,1727,1727,1727,1727,1727
"10","10",18,18,17.8,17.8,17.8,17.8,17.5,17.5,20.3,20.3,2263,2263,2276,2276,2276,2276,2394,2394,2634,2634
"100","100",18.4,18.4,14.9,14.9,15,15,15,15,15.2,15.2,2657,2657,2504,2504,2610,2610,2524,2524,2576,2576
"1000","1000",10.9,10.9,10.8,10.8,12.5,12.5,13,13,10.7,10.7,1510,1510,1770,1770,1639,1639,1643,1643,1768,1768
"10000","10000",45.6,45.6,38.2,38.2,38.1,38.1,39.4,39.4,33.2,33.2,4844,4844,4859,4859,4852,4852,5983,5983,4655,4655
"10001","10001",29.5,28.2,29.4,27,26.8,23.7,26.8,24,25.2,19.5,4040,3856,4138,3696,4051,3934,4035,4050,3781,3697
"10002","10002",13.8,13.8,12,12,31.8,31.8,12.9,12.9,12.2,12.2,2899,2899,1794,1794,5003,5003,1945,1945,2285,2285
"10003","10003",14.9,13.8,15.5,14.9,14.7,13.5,14.1,13.9,12.5,12.5,2463,2463,2579,2687,2555,2555,2651,2625,2258,2258
"10004","10004",18,18,17.7,17.7,18,18,18.1,18.1,18.1,18.1,1802,1802,1802,1802,1802,1802,1805,1805,1805,1805
"10005","10005",9.9,9.9,10.2,9.3,10.7,9.8,10.7,9.8,10.8,9.9,1137,1137,1137,1137,1170,1170,1170,1170,1172,1172
"10006","10006",20,20,18.2,18.2,18,18,15.7,15.7,15.8,15.8,3070,3070,3078,3078,2982,2982,2889,2889,2909,2909
"10007","10007",17.3,17.3,18.2,18.2,17.2,17.2,17.2,17.2,16.5,16.5,2858,2856,2914,2914,2611,2611,2610,2610,2704,2704
"10008","10008",19.2,19.2,19.1,19.1,18.9,18.9,17.7,17.7,16.6,16.6,2966,2966,2919,2919,2925,2925,2647,2647,2676,2676
"10009","10009",11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,1806,1806,1862,1862,1859,1859,1859,1859,1859,1859
"1001","1001",24.8,24.8,24.8,24.8,31.3,31.2,30.9,30.7,30.4,29.6,3960,3960,3958,3958,4601,4614,4627,4641,4687,4654
