"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Shanghai",2016,1,14797756,5879.49,1.46,0,14.84,24.7,3.82,21.8,49.44,4775348.916,356007,7.46,21.2,7.23,23.59,47.98,42194,311302,101,2410,8.03,"20260227_085906",9286,29473647
"Shanghai",2016,2,14797756,6547.32,1.49,0,23.41,21.61,15.68,20.09,42.41,4775348.916,356007,7.46,21.2,7.23,23.59,47.98,42194,311302,101,2410,8.03,"20260227_085906",10463,37264007
"Shanghai",2016,3,14797756,9229.19,1.53,0,27.66,12.54,10.68,54.32,22.33,4775348.916,356007,7.46,21.2,7.23,23.59,47.98,42194,311302,101,2410,8.03,"20260227_085906",16845,73301785
"Shanghai",2016,4,14797756,9031.89,1.32,0,17.65,3.93,3.72,22.09,70.15,4775348.916,356007,7.46,21.2,7.23,23.59,47.98,42194,311302,101,2410,8.03,"20260227_085906",19997,193250058
"Shanghai",2021,1,14797756,6808.68,1.5,15.8,24.39,42.68,4.78,17.06,35.36,5432288.254,483736,8.9,26.67,6.97,21.99,44.36,81485,396391,390,5470,8.03,"20260227_085906",10876,35621831
"Shanghai",2021,2,14797756,7518.07,1.52,14.83,32.21,36.17,18.03,15.39,30.3,5432288.254,483736,8.9,26.67,6.97,21.99,44.36,81485,396391,390,5470,8.03,"20260227_085906",12519,46871800
"Shanghai",2021,3,14797756,9455.33,1.51,2.45,37.53,22.07,12.85,48.17,16.83,5432288.254,483736,8.9,26.67,6.97,21.99,44.36,81485,396391,390,5470,8.03,"20260227_085906",17718,86315455
"Shanghai",2021,4,14797756,9080.78,1.32,0.54,30.54,7.91,6.61,23.79,61.62,5432288.254,483736,8.9,26.67,6.97,21.99,44.36,81485,396391,390,5470,8.03,"20260227_085906",19982,198784810
"Shanghai",2026,1,14797756,7709.09,1.5,31.12,33.47,62.64,5.79,11.19,20.27,6458523.841,737968,11.43,41.26,7.73,16.33,34.68,228390,496336,8582,4660,8.03,"20260227_085906",11478,49434569
"Shanghai",2026,2,14797756,8708.64,1.52,33.01,43.39,50.33,25.78,9.04,14.77,6458523.841,737968,11.43,41.26,7.73,16.33,34.68,228390,496336,8582,4660,8.03,"20260227_085906",13416,69618810
"Shanghai",2026,3,14797756,9227.46,1.46,-0.02,47.13,31.3,18.01,41.29,9.32,6458523.841,737968,11.43,41.26,7.73,16.33,34.68,228390,496336,8582,4660,8.03,"20260227_085906",15264,110116358
"Shanghai",2026,4,14797756,9432.08,1.43,4.43,47.74,12.73,9.42,24.04,53.74,6458523.841,737968,11.43,41.26,7.73,16.33,34.68,228390,496336,8582,4660,8.03,"20260227_085906",17344,191670546
