"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Shanghai",2016,1,14797756,3541.41,1.83,0,31.58,0.72,45.26,2.93,42.13,0,0.2,13.57,10.28,31.32,44.58,4775348.916,356007,7.46,21.2,7.23,23.59,47.98,42194,311302,101,2410,2.39,"20260303_140115",19940,25458039
"Shanghai",2016,2,14797756,3536.07,1.82,0,31.1,0.74,43.96,2.57,41.18,0,0.19,13.27,12.26,30.49,43.73,4775348.916,356007,7.46,21.2,7.23,23.59,47.98,42194,311302,101,2410,2.39,"20260303_140115",19941,26870931
"Shanghai",2019,1,14797756,3591.32,1.86,1.41,28.48,1,54.49,6.06,48.18,0.02,0.23,18.37,12.01,28.47,40.94,5294860.485,478654,9.04,25.55,7.33,22.07,45.05,79750,394584,390,3930,2.39,"20260303_140115",19909,37074847
"Shanghai",2019,2,14797756,3581.02,1.85,1.27,27.98,1.04,52.55,5.64,46.66,0.02,0.22,18.37,14,27.45,39.97,5294860.485,478654,9.04,25.55,7.33,22.07,45.05,79750,394584,390,3930,2.39,"20260303_140115",19911,39415490
"Shanghai",2021,1,14797756,3534.42,1.82,-0.2,28.23,1.04,53.7,5.73,47.72,0.02,0.23,19.81,12.12,28.28,39.63,5432288.254,483736,8.9,26.67,6.97,21.99,44.36,81485,396391,390,5470,2.39,"20260303_140115",19956,37514036
"Shanghai",2021,2,14797756,3526.13,1.81,-0.28,27.72,1.08,51.93,5.3,46.39,0.02,0.22,19.71,14.02,27.31,38.8,5432288.254,483736,8.9,26.67,6.97,21.99,44.36,81485,396391,390,5470,2.39,"20260303_140115",19958,39815473
"Shanghai",2024,1,14797756,3193.85,1.7,-9.81,21.63,1.1,62.54,14.68,46.97,0.59,0.3,27.04,15.4,21.19,36.27,5965647.669,714314,11.97,36.24,8.14,17.49,38.13,214991,487571,6148,5603,2.39,"20260303_140115",18369,52649726
"Shanghai",2024,2,14797756,3176.23,1.69,-10.18,21.2,1.18,59.75,13.76,45.16,0.54,0.29,26.78,17.85,20.15,35.11,5965647.669,714314,11.97,36.24,8.14,17.49,38.13,214991,487571,6148,5603,2.39,"20260303_140115",18384,55597897
"Shanghai",2026,1,14797756,3176.71,1.69,-10.3,20.94,1.2,62.76,15.21,46.45,0.89,0.21,30.62,15.12,20.75,33.46,6458523.841,737968,11.43,41.26,7.73,16.33,34.68,228390,496336,8582,4660,2.39,"20260303_140115",18380,52386378
"Shanghai",2026,2,14797756,3161.27,1.68,-10.6,20.53,1.26,60.2,14.32,44.8,0.88,0.2,30.42,17.24,20,32.28,6458523.841,737968,11.43,41.26,7.73,16.33,34.68,228390,496336,8582,4660,2.39,"20260303_140115",18393,54675064
