"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",14.3,14.3,14.3,14.3,14.3,14.3,14.5,14.5,14.5,14.5,1006,1006,1006,1006,1006,1006,1379,1379,1343,1343
"10","10",43.6,39.5,53.3,44.9,33,27.1,28.7,17.9,21.4,18,2689,2689,4305,4305,2524,2524,3701,3364,3993,3363
"100","100",39.4,39.4,39.3,39.3,39.3,39.3,30.8,28.6,26.6,26.6,2639,2639,2648,2648,2648,2648,2813,3885,2894,2894
"1000","1000",13,13,16.9,16.9,17,17,13.8,10.6,15.7,11,1631,1631,1925,1925,1934,1934,2069,2012,2239,2086
"10000","10000",48.7,40.4,45.2,37.4,41.4,34.9,30.6,30.5,38.7,33.3,4885,4771,4518,4350,5310,4956,5260,5245,5183,5020
"10001","10001",42.8,42.8,42.9,32.7,42.9,32.6,38.1,33.3,39.5,34,2848,2848,2806,3552,2806,3413,4594,3412,4261,3821
"10002","10002",33.6,33.6,29.3,29.3,29.3,29.3,27.3,27.3,27,27,2554,2554,1634,1634,1629,1629,2663,2663,2663,2663
"10003","10003",13.9,13.9,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.2,1149,1149,1166,1166,1166,1166,1149,1149,1043,1043
"10004","10004",30.9,25.9,29.4,24.1,27.6,22.8,18.2,17.7,22.6,19.5,3310,3523,3000,3176,3897,3175,3339,3250,3283,3469
"10005","10005",64.1,64.1,65,65,61.3,59.2,44.6,39.1,50.5,42,4997,4997,4466,4466,5107,5088,5201,5349,5816,5952
"10006","10006",74.4,60.4,64.3,64.3,64.3,64.3,54.9,48.9,54.8,48.9,4744,4748,4922,4836,4922,4836,4840,5094,4835,5093
"10007","10007",44.8,19.2,44.7,19.3,44.7,19.3,40.5,21.9,32.7,21.9,3209,3590,3205,3590,3205,3590,3473,4149,3365,3536
"10008","10008",15.9,15.9,15.9,15.9,15.9,15.9,11.5,11.5,11.9,11,1515,1515,1515,1515,1515,1515,1512,1512,1512,1574
"10009","10009",36.8,32,26.6,26.2,26.6,26.3,21.1,19.5,21.1,16.9,3652,3751,3423,3402,3423,3402,3324,2995,3324,3402
"1001","1001",46.4,45.2,31.6,26.4,30.4,25.9,23.3,18.7,27,23.1,3071,3112,3461,3353,3461,3424,3470,3427,3364,3246
"10011","10011",50.1,50.1,40.5,40.5,40.5,40.5,40.6,40.6,40.5,40.5,3265,3265,3242,3242,3242,3242,3242,3242,3237,3237
"10012","10012",53.8,53.8,46.1,46.1,43.4,43.4,44.1,42.3,43.3,43.1,4296,4296,4082,4082,4171,4171,4062,4062,4484,3671
"10013","10013",11.9,5.8,14.4,6.5,14.4,6.5,14.4,6.5,8.4,5.8,1163,1226,1490,1553,1490,1553,1155,1219,1078,892
"10014","10014",100.1,100.1,84.7,76.3,76.4,71.2,60.9,56.3,55.9,48.9,6649,6649,7131,7623,7037,7129,6370,7653,6982,7966
"10015","10015",25.5,25.5,21.3,21.3,21.3,21.3,22.1,21.9,20.3,20.3,2051,2051,2352,2352,2352,2352,1961,1896,2358,2358
"10016","10016",23.1,21.2,22.1,20.1,23.4,21.5,22.2,19.9,24.8,23,3012,3012,2938,2920,3189,3147,3211,3112,3525,3481
"10017","10017",34.9,34.9,30.3,30.3,35.6,35.6,34,28.2,27.5,21.9,2493,2493,2826,2826,2826,2826,2722,2722,2826,2826
"10018","10018",16.7,15.7,17.4,15.1,13.1,13.1,12.2,12.2,12.2,12.2,2049,2091,1812,1851,2093,2093,2139,2139,2132,2132
"10019","10019",77.1,77.1,77.1,77.1,77.1,77.1,NA,NA,NA,NA,5225,5225,5221,5221,5221,5221,NA,NA,NA,NA
"1002","1002",21.1,11.4,21.1,11.4,23.1,11.4,16.8,9.9,16.6,9.7,2117,2344,2117,2344,2117,2344,2090,2048,2214,1959
"10020","10020",54.5,39.2,53.1,33,49.6,33,51,37.5,46.2,36.4,3628,4387,3704,4253,3412,4189,3373,4192,3269,3744
"10021","10021",42.1,42.1,42.1,42.1,42.1,42.1,26.5,26.5,26.5,26.5,2780,2780,2781,2781,2780,2780,1975,1975,1976,1976
"10022","10022",18.1,9.5,19.2,10.6,19.2,10.6,10.8,7.9,10.8,7.9,1540,1540,1328,1336,1328,1336,1332,1332,1332,1332
"10024","10024",48,43.9,45.5,40.2,44.4,40.1,41.8,37.6,41.8,36.3,4060,4060,4144,3736,3595,3737,3695,3842,3692,3842
"10025","10025",44.8,44.8,44.8,44.8,44.8,44.8,45.3,31.5,43.6,40.2,3070,3070,3070,3070,3070,3070,3095,3552,3431,3804
"10026","10026",74.1,74.1,68.6,68.1,67.3,66.9,72,53.7,76.3,60.5,5815,5815,6543,6543,6339,6339,5539,5437,7145,5807
"10027","10027",13.1,11.9,12,6.2,12,6.2,9.2,4.2,14,5.6,1079,1107,1131,1034,1131,1034,884,890,980,994
"10028","10028",19.3,17.6,18.9,17.3,16.1,16.1,15.7,15.7,17.9,17.9,1650,1650,2033,1916,1734,1734,1739,1739,1650,1650
"10029","10029",37.4,36.5,38.1,26.2,38.2,26.3,18.8,17.7,18.8,17.7,3382,3382,3473,3381,3475,3383,3094,3084,3091,3083
"1003","1003",46.4,35.4,48.6,45.8,51.5,51.5,46.3,46.1,46.4,42.8,3642,3642,3588,5399,3911,3911,3623,3870,3623,5442
"10030","10030",42.4,42.4,41.1,41.1,48.2,48.2,47.3,42.9,46.7,46.7,3331,3331,3550,3550,3782,3782,4471,4407,4356,4356
"10031","10031",12.4,12.4,12.4,12.4,12.4,12.4,12.3,12.3,8.4,8.4,1725,1725,1725,1725,1725,1725,1317,1317,1726,1726
"10032","10032",27.2,27,23.6,23.5,22.8,22.6,20.7,20.6,14.7,14.7,1824,1824,1832,1832,2091,2091,2091,2091,1603,1603
"10033","10033",34.4,32.4,29.8,25,29.8,25,29.5,20.2,29.3,18.9,2549,3451,2949,2906,2949,2909,2300,2351,2590,2759
"10034","10034",20.3,12.9,19.9,18.7,19.4,18.2,19.4,19.4,14.9,14.9,1616,1616,1668,1616,1854,1799,2094,2094,1627,1627
"10035","10035",34.8,34.8,30.1,26.3,30.1,22.9,29.6,25.9,29.6,25.4,2735,2735,2744,2427,2744,2432,2972,2655,2972,3386
