"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",2127,1804,1841,1796,1566,2363,0.110954395862717
"2","2",2011,2378,2718,2036,2041,2014,0.00149179512680259
"3","3",2536,2739,2739,2747,2739,2573,0.014589905362776
"4","4",4870,5218,6458,4995,5058,4968,0.0201232032854209
"5","5",5129,3667,3510,3661,4318,4654,-0.0926106453499708
"6","6",2799,2567,2746,3203,3788,3779,0.350125044658807
"7","7",4412,5849,4664,4706,4623,4630,0.0494106980961015
"8","8",3047,3468,3101,2832,3109,2655,-0.128651132261241
"9","9",3368,2255,3204,2459,2459,2306,-0.315320665083135
"10","10",3162,4350,3307,3823,3377,3301,0.0439595192915876
"11","11",3302,3082,2883,2751,2913,2756,-0.165354330708661
"12","12",2767,2424,2452,2468,2517,2551,-0.0780628839898807
"13","13",3880,4822,4066,4119,4104,4101,0.0569587628865979
"14","14",1278,1823,2232,1891,1590,3058,1.39280125195618
"15","15",4302,4543,4694,3959,6533,6539,0.51999070199907
"16","16",1828,1510,1847,1504,1885,1885,0.0311816192560175
"2014","2014",1828,1510,1847,1504,1885,1885,0.0311816192560175
"17","17",3461,2765,2421,2483,2487,2491,-0.28026581912742
"18","18",6643,6123,7461,6462,5645,5549,-0.164684630438055
"19","19",12129,6970,6449,6109,6144,6152,-0.492785885068843
"20","20",8401,8072,8043,7240,6923,6588,-0.215807641947387
"21","21",1738,1268,1386,1291,1291,1291,-0.257192174913694
"22","22",2284,2005,1751,1648,1915,1915,-0.161558669001751
"23","23",2607,1964,1606,1832,1872,1553,-0.404296125815113
"9946","9946",2607,1964,1606,1832,1872,1553,-0.404296125815113
"24","24",3779,3825,3825,4057,3509,3508,-0.071712093146335
"26","26",7238,6884,7436,6971,6961,7998,0.105001381597126
"9153","9153",7238,6884,7436,6971,6961,7998,0.105001381597126
"27","27",5492,6008,5787,5713,6681,5822,0.0600873998543336
"28","28",9887,7818,7325,8036,8037,7621,-0.22918984525134
"29","29",5073,5638,5199,5180,5328,5319,0.0484920165582496
"30","30",3463,3576,3635,3735,3601,3335,-0.0369621715275772
"31","31",3203,3254,3258,4023,4029,3792,0.183890103028411
"32","32",2530,2155,2095,2420,2420,2731,0.0794466403162055
"33","33",2075,1992,1894,1799,1954,1869,-0.0992771084337349
"34","34",4450,4047,3982,3985,4048,4216,-0.0525842696629213
"35","35",5065,4939,4961,5018,5994,5320,0.0503455083909181
"36","36",8165,7777,7729,8371,8266,7889,-0.0338028169014084
"37","37",4522,3869,3769,3733,3371,3295,-0.271340114993366
"38","38",5559,5770,6720,6083,6417,6545,0.17737003058104
"39","39",4417,6844,6933,4827,4811,4868,0.102105501471587
"40","40",4184,3447,3445,3609,3598,3922,-0.0626195028680688
"41","41",6298,5513,5522,5337,5136,5349,-0.150682756430613
"42","42",4313,3252,3845,3187,3450,3342,-0.225133317876188
"43","43",2368,2118,1773,1788,1671,1321,-0.44214527027027
"44","44",3073,3158,2304,3302,2576,3334,0.0849332899446795
"45","45",2269,1876,2610,2635,2661,2660,0.172322609078889
"46","46",3059,3595,3392,3639,3685,3693,0.20725727361883
"47","47",7501,6061,6229,7242,6523,7070,-0.0574590054659379
"48","48",5133,4310,4311,3375,4456,4463,-0.130527956360803
"49","49",3835,3416,3431,3795,3751,3621,-0.0558018252933507
"50","50",5915,5868,4588,5058,5084,5051,-0.146069315300085
"51","51",2767,2526,2643,2643,3230,3335,0.205276472714131
"52","52",9922,8378,8401,7152,7154,8394,-0.154001209433582
"53","53",5346,5468,5784,5691,4807,4792,-0.103628881406659
"54","54",2528,4035,3015,2607,2923,3108,0.229430379746835
"55","55",1667,796,2420,1668,1057,1121,-0.32753449310138
"56","56",6728,5886,5794,5937,5934,5929,-0.118757431629013
"57","57",1706,1636,1635,1550,1586,1797,0.0533411488862837
"58","58",1978,2101,2525,3171,1914,3473,0.755813953488372
"59","59",6054,4915,6213,5707,4648,4398,-0.273538156590684
"60","60",3899,3846,3841,3147,2963,2929,-0.248781738907412
"61","61",1807,1443,1480,1516,1516,1516,-0.16104039845047
"62","62",5488,5254,5047,6453,6438,6614,0.205174927113703
"63","63",2710,2841,2697,2473,2474,2477,-0.0859778597785978
"64","64",7025,7462,7055,7239,6644,6737,-0.0409964412811388
"65","65",3370,3306,3073,3124,3091,3100,-0.0801186943620178
"66","66",8072,6833,5974,5050,4933,4748,-0.411793855302279
"67","67",2844,2837,3172,4411,4944,4739,0.666315049226442
"68","68",3779,3836,3700,4442,4527,4568,0.208785392961101
"69","69",4148,3909,4277,4677,4692,4539,0.0942622950819672
"70","70",1666,1749,1773,1653,1632,1684,0.0108043217286915
"71","71",4778,5110,4635,5249,5280,4749,-0.00606948514022604
"72","72",3364,2367,2038,2136,2010,2010,-0.402497027348395
"73","73",2128,1755,1751,1621,1620,1656,-0.221804511278195
"935","935",2128,1755,1751,1621,1620,1656,-0.221804511278195
"74","74",1998,2058,2049,2014,2016,2016,0.00900900900900901
"75","75",4013,2547,2564,2965,3187,2751,-0.314477946673312
"76","76",3706,3565,3429,3152,3152,3453,-0.0682676740420939
"77","77",2857,2665,2666,3015,3145,3067,0.0735036751837592
"6299","6299",2857,2665,2666,3015,3145,3067,0.0735036751837592
"78","78",3167,3195,3099,3564,3494,3506,0.10704136406694
"79","79",6627,8384,7980,8286,7348,7607,0.14787988531764
"80","80",4264,4494,4716,4181,3726,3557,-0.165806754221388
"81","81",2110,2613,2453,2479,2478,2224,0.0540284360189573
"82","82",6357,6546,6472,6043,6049,5993,-0.0572597137014315
"83","83",5642,8462,6818,6912,6913,6322,0.120524636653669
"84","84",6572,7582,7547,7377,7508,7153,0.0884053560559951
"85","85",3919,5008,5299,5379,4572,4571,0.166368971676448
"86","86",11634,9402,9362,10634,9679,9940,-0.14560770156438
"87","87",6740,8034,8316,8022,7910,7886,0.170029673590504
"88","88",1680,1644,1557,1562,1562,1653,-0.0160714285714286
"89","89",3797,3491,4247,3991,3777,3696,-0.026599947326837
"91","91",5746,5240,5818,5746,5588,5647,-0.0172293769578837
"92","92",6897,6829,6029,5360,5758,5815,-0.156879802812817
"93","93",3719,3575,3641,2656,2652,2648,-0.287980639956978
"94","94",3108,1795,1594,1590,1610,1640,-0.472329472329472
"95","95",6008,6405,6375,6203,6156,5180,-0.137816245006658
"97","97",7551,6339,6770,6740,7014,7010,-0.071646139584161
"98","98",6012,6486,6168,6527,5543,6678,0.110778443113772
"99","99",5690,5724,4144,4083,4077,4087,-0.281722319859402
"100","100",4263,3711,3855,3861,4061,4009,-0.0595824536711236
"101","101",3398,3277,3057,3092,3257,3160,-0.0700412007062978
"102","102",9231,7230,7643,6976,6877,6826,-0.260535153287834
"103","103",1727,2161,2130,1761,1761,1700,-0.0156340474811812
