"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Stockholm",2016,1,1258655,7427.98,1.67,0,55.1,90.19,2.38,5.22,2.16,2828973.967,296339,10.48,64.88,6.25,15.48,13.4,261821,22727,0,11791,18.46,"20260226_124630",19956,469183478
"Stockholm",2016,2,1258655,7356.2,1.66,0,55.89,82.22,11.29,4.69,1.76,2828973.967,296339,10.48,64.88,6.25,15.48,13.4,261821,22727,0,11791,18.46,"20260226_124630",19965,569497520
"Stockholm",2016,3,1258655,7068.43,1.6,0,48.33,61.26,12.19,25.6,0.91,2828973.967,296339,10.48,64.88,6.25,15.48,13.4,261821,22727,0,11791,18.46,"20260226_124630",19993,745442198
"Stockholm",2016,4,1258655,6865.71,1.55,0,42.96,47.37,10.47,21.05,21.07,2828973.967,296339,10.48,64.88,6.25,15.48,13.4,261821,22727,0,11791,18.46,"20260226_124630",20000,842847325
"Stockholm",2021,1,1258655,7604.56,1.69,2.38,52.14,92.8,3,2.31,1.86,3076889.012,316110,10.27,69.2,12.26,6.72,11.82,274164,27630,5489,8827,18.46,"20260226_124630",19854,456878612
"Stockholm",2021,2,1258655,7318.56,1.64,-0.51,46.43,75.85,20.81,1.83,1.47,3076889.012,316110,10.27,69.2,12.26,6.72,11.82,274164,27630,5489,8827,18.46,"20260226_124630",19884,560408310
"Stockholm",2021,3,1258655,7028.69,1.58,-0.56,52.29,61.75,20.46,16.72,1.03,3076889.012,316110,10.27,69.2,12.26,6.72,11.82,274164,27630,5489,8827,18.46,"20260226_124630",19905,724629567
"Stockholm",2021,4,1258655,6829.08,1.54,-0.53,50.88,51.76,15.78,15.2,17.23,3076889.012,316110,10.27,69.2,12.26,6.72,11.82,274164,27630,5489,8827,18.46,"20260226_124630",19931,840890127
"Stockholm",2026,1,1258655,7430.35,1.65,0.03,52.64,94.85,2.81,0.92,1.39,3300615.991,319784,9.69,72.2,12.92,4.59,10.29,273265,25777,6609,14134,18.46,"20260226_124630",19785,483984649
"Stockholm",2026,2,1258655,7113.57,1.59,-3.3,57.37,80.68,17.33,0.8,1.17,3300615.991,319784,9.69,72.2,12.92,4.59,10.29,273265,25777,6609,14134,18.46,"20260226_124630",19802,646783756
"Stockholm",2026,3,1258655,7032.16,1.57,-0.51,57.14,74.85,18.41,5.63,1.08,3300615.991,319784,9.69,72.2,12.92,4.59,10.29,273265,25777,6609,14134,18.46,"20260226_124630",19814,683851121
"Stockholm",2026,4,1258655,6879.58,1.54,0.2,60.99,64.59,16.76,6.73,11.89,3300615.991,319784,9.69,72.2,12.92,4.59,10.29,273265,25777,6609,14134,18.46,"20260226_124630",19891,802290093
