"from_id","to_id","dist_2018","dist_2020","dist_2022","change_pct"
"1","1",10061,10072,10296,0.023357519133287
"2","2",678,678,678,0
"3","3",5460,5343,5062,-0.0728937728937729
"4","4",12742,12522,12309,-0.0339821064197143
"5","5",2458,2341,2342,-0.0471928397070789
"12607","12607",2458,2341,2342,-0.0471928397070789
"6","6",2414,2424,2424,0.00414250207125104
"7","7",3100,3101,3093,-0.00225806451612903
"12260","12260",3100,3101,3093,-0.00225806451612903
"8","8",3420,3637,3402,-0.00526315789473684
"9","9",1993,1993,1994,0.000501756146512795
"10","10",4762,4760,4922,0.0335993280134397
"11","11",1768,1777,1804,0.0203619909502262
"12","12",1926,1908,1688,-0.123572170301142
"13","13",2244,2244,2254,0.00445632798573975
"14","14",2100,1945,1946,-0.0733333333333333
"19213","19213",2100,1945,1946,-0.0733333333333333
"15","15",1172,1172,1172,0
"16","16",1803,1794,1716,-0.0482529118136439
"17","17",2955,2958,2961,0.00203045685279188
"18","18",3265,3903,3859,0.181929555895865
"19","19",3762,3754,3733,-0.00770866560340245
"5795","5795",3762,3754,3733,-0.00770866560340245
"20","20",3708,3713,3718,0.00269687162891046
"21","21",1870,1793,1836,-0.0181818181818182
"9161","9161",1870,1793,1836,-0.0181818181818182
"22","22",2230,1712,1655,-0.257847533632287
"23","23",2024,2015,1995,-0.0143280632411067
"24","24",11348,11113,10862,-0.0428269298554811
"25","25",2059,2054,2036,-0.0111704711024769
"26","26",3325,3326,2879,-0.134135338345865
"27","27",833,742,733,-0.120048019207683
"28","28",2418,2386,1710,-0.292803970223325
"29","29",2346,2368,2336,-0.00426257459505541
"30","30",1405,1405,1270,-0.096085409252669
"31","31",2727,3291,3755,0.376971030436377
"32","32",8305,8586,8467,0.0195063214930765
"33","33",2733,2723,2725,-0.00292718624222466
"18035","18035",2733,2723,2725,-0.00292718624222466
"34","34",4397,4393,4531,0.0304753240846031
"35","35",924,924,924,0
"6919","6919",924,924,924,0
"7072","7072",924,924,924,0
"36","36",3819,3674,3614,-0.0536789735532862
"37","37",3638,2928,2885,-0.206981858163826
"38","38",3741,3761,3898,0.0419673883988238
"39","39",5065,5246,5065,0
"40","40",2640,2645,2587,-0.0200757575757576
"41","41",2260,2275,2330,0.0309734513274336
"743","743",2260,2275,2330,0.0309734513274336
"42","42",3772,3720,3760,-0.0031813361611877
"43","43",2506,2563,2352,-0.0614525139664804
"44","44",2196,2152,2037,-0.0724043715846995
"45","45",2127,2129,2131,0.00188058298072402
"19141","19141",2127,2129,2131,0.00188058298072402
"46","46",768,768,788,0.0260416666666667
"18205","18205",768,768,788,0.0260416666666667
"47","47",1714,1710,1726,0.00700116686114352
"48","48",1155,1137,1137,-0.0155844155844156
"49","49",10957,10688,10518,-0.0400657114173588
"50","50",2712,2744,2750,0.0140117994100295
"51","51",2346,2414,2263,-0.0353793691389599
"52","52",1756,1675,1549,-0.117881548974943
"534","534",1756,1675,1549,-0.117881548974943
"53","53",2501,2836,2836,0.133946421431427
