"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",10149,10110,10296,10180,10184,0.00344861562715538
"2","2",920,678,678,684,685,-0.255434782608696
"3","3",5497,5438,5053,5060,5521,0.00436601782790613
"4","4",12806,12317,12028,12227,12286,-0.0406059659534593
"5","5",2510,2366,2343,2312,2397,-0.0450199203187251
"12607","12607",2510,2366,2343,2312,2397,-0.0450199203187251
"6","6",2416,2416,2424,2388,2387,-0.0120033112582781
"7","7",3054,3106,3091,2958,2961,-0.0304518664047151
"12260","12260",3054,3106,3091,2958,2961,-0.0304518664047151
"8","8",3359,3652,3477,3463,3403,0.0130991366478118
"9","9",1992,1622,1620,1620,1641,-0.176204819277108
"10","10",4766,4763,4924,4904,5152,0.0809903483004616
"11","11",1771,1768,1779,1929,2012,0.136081309994353
"12","12",2093,1963,1963,1820,1819,-0.130912565695174
"13","13",2167,2166,2144,2127,2355,0.0867558837101984
"14","14",1953,1917,1907,1943,1942,-0.00563236047107015
"19213","19213",1953,1917,1907,1943,1942,-0.00563236047107015
"15","15",1168,1173,1169,1179,1608,0.376712328767123
"16","16",1584,1741,1714,1770,1770,0.117424242424242
"17","17",2822,2728,2725,2721,2670,-0.0538625088589653
"18","18",3595,3252,2965,3137,3132,-0.128789986091794
"19","19",3611,3753,3560,3725,3728,0.0324009969537524
"5795","5795",3611,3753,3560,3725,3728,0.0324009969537524
"20","20",3779,3802,3884,3813,3792,0.00344006350886478
"21","21",1958,1842,1796,1873,1684,-0.139938712972421
"9161","9161",1958,1842,1796,1873,1684,-0.139938712972421
"22","22",2175,2167,1653,1943,2322,0.0675862068965517
"23","23",2029,2022,1995,2154,2173,0.070970921636274
"24","24",11183,11144,10883,10942,10856,-0.0292408119467048
"25","25",2057,2055,2036,2037,2037,-0.00972289742343218
"26","26",3306,3313,2801,2998,2976,-0.0998185117967332
"27","27",832,934,726,772,651,-0.217548076923077
"28","28",2527,2052,2051,1503,1504,-0.404827859121488
"29","29",2477,2366,2365,2340,2340,-0.055308841340331
"30","30",1149,1149,1162,1162,1317,0.14621409921671
"31","31",2754,2923,3489,3568,3567,0.29520697167756
"32","32",8243,8115,7977,8077,7969,-0.0332403251243479
"33","33",2620,2732,2726,2682,2682,0.0236641221374046
"18035","18035",2620,2732,2726,2682,2682,0.0236641221374046
"34","34",5349,4391,4522,4513,4577,-0.144326042250888
"35","35",1201,918,923,926,926,-0.228975853455454
