"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Strasbourg",2016,1,357409,7644.88,1.53,0,50.01,85.58,0.61,7.96,5.75,3941406.902,314555,7.98,48.98,1.16,17.44,32.43,234443,61232,0,18880,15.91,"20260226_152706",19640,65641885
"Strasbourg",2016,2,357409,7613.01,1.52,0,49.56,83.58,3,7.76,5.55,3941406.902,314555,7.98,48.98,1.16,17.44,32.43,234443,61232,0,18880,15.91,"20260226_152706",19667,69006032
"Strasbourg",2016,3,357409,7092.49,1.42,0,38.8,55.9,3.26,37.5,3.23,3941406.902,314555,7.98,48.98,1.16,17.44,32.43,234443,61232,0,18880,15.91,"20260226_152706",19723,129038705
"Strasbourg",2016,4,357409,6565.65,1.32,0,26.63,34.35,2.23,27.92,35.4,3941406.902,314555,7.98,48.98,1.16,17.44,32.43,234443,61232,0,18880,15.91,"20260226_152706",19723,168424763
"Strasbourg",2021,1,357409,7282.49,1.46,-4.74,55.18,88.75,0.97,5.49,4.71,4354471.73,388999,8.93,54.35,1.86,14.33,29.47,272569,75347,4325,36758,15.91,"20260226_152706",19439,69174644
"Strasbourg",2021,2,357409,7241.71,1.46,-4.88,54.5,86.08,3.96,5.31,4.58,4354471.73,388999,8.93,54.35,1.86,14.33,29.47,272569,75347,4325,36758,15.91,"20260226_152706",19455,80217298
"Strasbourg",2021,3,357409,6881.97,1.38,-2.97,49.69,66.25,3.89,26.57,3.21,4354471.73,388999,8.93,54.35,1.86,14.33,29.47,272569,75347,4325,36758,15.91,"20260226_152706",19488,125018999
"Strasbourg",2021,4,357409,6475.26,1.3,-1.38,33.44,41.13,2.87,23.04,32.87,4354471.73,388999,8.93,54.35,1.86,14.33,29.47,272569,75347,4325,36758,15.91,"20260226_152706",19494,161487149
"Strasbourg",2026,1,357409,7150.3,1.44,-6.47,58.96,90.97,1.71,3.43,3.82,4727614.605,408505,8.64,58.61,4.15,9.32,27.93,227773,57888,12381,110463,15.91,"20260226_152706",19296,75539725
"Strasbourg",2026,2,357409,7050.53,1.42,-7.39,59.23,86.44,6.79,3.28,3.42,4727614.605,408505,8.64,58.61,4.15,9.32,27.93,227773,57888,12381,110463,15.91,"20260226_152706",19318,91884125
"Strasbourg",2026,3,357409,6870.51,1.38,-3.13,54.19,75.29,7.57,14.18,2.88,4727614.605,408505,8.64,58.61,4.15,9.32,27.93,227773,57888,12381,110463,15.91,"20260226_152706",19325,116333428
"Strasbourg",2026,4,357409,6556.63,1.32,-0.14,44.19,53.87,7.13,12.8,26.13,4727614.605,408505,8.64,58.61,4.15,9.32,27.93,227773,57888,12381,110463,15.91,"20260226_152706",19325,147162715
