"city","year","lts","found_routes","access_15min_vol"
"strasbourg",16,3,19723,129038705
"strasbourg",16,4,19723,168424763
"strasbourg",21,3,19488,125018999
"strasbourg",21,4,19494,161487149
"strasbourg",26,3,19325,116333428
"strasbourg",26,4,19325,147162715
"strasbourg",16,1,19714,24152779
"strasbourg",16,2,19714,24780433
"strasbourg",19,1,19702,25146912
"strasbourg",19,2,19703,26128404
"strasbourg",21,1,19546,25912907
"strasbourg",21,2,19546,27071634
"strasbourg",24,1,19487,26029771
"strasbourg",24,2,19490,27089282
"strasbourg",26,1,19390,26585307
"strasbourg",26,2,19394,27658016
"strasbourg",18,1,19710,25223246
"strasbourg",20,1,19704,25486817
"strasbourg",22,1,19500,26169004
