"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Sydney","2016",1,4135711,8862.86,1.52,0,25.21,80.27,0.81,6.45,12.43,5888098.726,241117,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,NA,"20260226_041959",17733,34379329
"Sydney","2016",2,4135711,9036.67,1.52,0,26.22,77.38,4.91,5.99,11.68,5888098.726,241117,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,NA,"20260226_041959",18072,37004437
"Sydney","2016",3,4135711,9468.61,1.47,0,27.97,54.76,4.96,34.03,6.22,5888098.726,241117,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,NA,"20260226_041959",19736,73672776
"Sydney","2016",4,4135711,8300.78,1.28,0,10.87,21.33,1.35,13.74,63.55,5888098.726,241117,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,NA,"20260226_041959",19977,137074174
"Sydney","2021",1,4135711,9079.05,1.5,2.44,39.78,86.04,1.33,4.6,7.99,6336313.824,411169,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,NA,"20260226_041959",18435,45788072
"Sydney","2021",2,4135711,9161.39,1.48,1.38,41.05,81.02,7.46,4.41,7.08,6336313.824,411169,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,NA,"20260226_041959",18791,59808781
"Sydney","2021",3,4135711,9374.02,1.45,-1,41.23,60.8,7.78,27.05,4.34,6336313.824,411169,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,NA,"20260226_041959",19818,84581472
"Sydney","2021",4,4135711,8259.76,1.28,-0.49,18.47,24.5,3.2,12.4,59.87,6336313.824,411169,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,NA,"20260226_041959",19937,132792771
"Sydney","2026",1,4135711,9288.83,1.46,4.81,49.67,92.98,0.93,2.19,3.88,6794440.947,509407,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,NA,"20260226_041959",19243,60356376
"Sydney","2026",2,4135711,9280.09,1.45,2.69,50.33,87.36,6.89,2.14,3.59,6794440.947,509407,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,NA,"20260226_041959",19502,72971930
"Sydney","2026",3,4135711,9161.24,1.41,-3.25,49.39,73.58,7.85,15.42,3.13,6794440.947,509407,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,NA,"20260226_041959",19885,89348087
"Sydney","2026",4,4135711,8384.09,1.3,1,25.69,34.33,4.69,9.57,51.39,6794440.947,509407,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,NA,"20260226_041959",19934,124550875
