"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Sydney",2016,1,4135711,4128.09,1.68,0,29.58,2.03,32.24,20.73,6.18,2.03,3.29,65.95,2.41,12.97,18.67,5888098.726,241117,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,14.15,"20260303_093316",19899,19210586
"Sydney",2016,2,4135711,4128.95,1.68,0,29.14,2.05,31.56,20.34,5.89,1.99,3.33,64.98,4.19,12.61,18.21,5888098.726,241117,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,14.15,"20260303_093316",19904,20009358
"Sydney",2016,3,4135711,4056.06,1.65,0,24.16,1.96,24.49,14.99,4.76,1.78,2.96,52.03,3.66,31.22,13.08,5888098.726,241117,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,14.15,"20260303_093316",19935,29247641
"Sydney",2016,4,4135711,3594.93,1.47,0,18.13,0.92,11.91,6.56,3.21,0.72,1.41,28.34,2,18.73,50.93,5888098.726,241117,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,14.15,"20260303_093316",19941,48340006
"Sydney",2019,1,4135711,4081.33,1.66,-1.13,27.57,2.36,41.86,19.15,6.67,10.86,5.18,67.31,4.65,11.93,16.1,6111482.965,372850,6.1,54.13,3.95,15.87,26.05,151908,53671,106643,60628,14.15,"20260303_093316",19855,22958415
"Sydney",2019,2,4135711,4069.24,1.65,-1.45,26.98,2.44,39.9,18.25,6.28,10.36,5.01,65.54,7.6,11.5,15.35,6111482.965,372850,6.1,54.13,3.95,15.87,26.05,151908,53671,106643,60628,14.15,"20260303_093316",19863,24721518
"Sydney",2019,3,4135711,3997.25,1.62,-1.45,23.16,2.47,32.75,14.4,5.16,9.21,3.98,53.8,7.08,27.25,11.86,6111482.965,372850,6.1,54.13,3.95,15.87,26.05,151908,53671,106643,60628,14.15,"20260303_093316",19887,31873618
"Sydney",2019,4,4135711,3579.94,1.47,-0.42,18.16,1.48,17.97,6.51,3.69,5.69,2.09,30.66,4.81,17.1,47.42,6111482.965,372850,6.1,54.13,3.95,15.87,26.05,151908,53671,106643,60628,14.15,"20260303_093316",19892,47701715
"Sydney",2021,1,4135711,4033.07,1.64,-2.3,26.57,2.53,43.75,23.55,5.69,11.16,3.35,70.47,4.49,10.7,14.33,6336313.824,411169,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,14.15,"20260303_093316",19874,24625381
"Sydney",2021,2,4135711,4016.6,1.63,-2.72,25.94,2.63,41.6,22.16,5.65,10.71,3.08,68.39,7.53,10.38,13.68,6336313.824,411169,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,14.15,"20260303_093316",19876,26505205
"Sydney",2021,3,4135711,3936.04,1.6,-2.96,22.59,2.64,35.46,18.31,4.85,9.75,2.55,57.18,7,24.91,10.9,6336313.824,411169,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,14.15,"20260303_093316",19888,33175208
"Sydney",2021,4,4135711,3559.26,1.46,-0.99,18.14,1.72,19.94,8.37,3.62,6.37,1.57,33.11,4.84,16.11,45.93,6336313.824,411169,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,14.15,"20260303_093316",19892,47639099
"Sydney",2024,1,4135711,3941.19,1.59,-4.53,24.83,2.51,46.27,26.01,4.29,14.38,1.59,78.46,3.36,7.31,10.87,6579707.04,485144,7.37,64.64,4.01,11.88,19.47,238330,53002,163787,30025,14.15,"20260303_093316",19468,27823460
"Sydney",2024,2,4135711,3936.19,1.59,-4.67,24.43,2.62,44.45,25,4.27,13.68,1.51,76.12,6.2,7.22,10.46,6579707.04,485144,7.37,64.64,4.01,11.88,19.47,238330,53002,163787,30025,14.15,"20260303_093316",19621,29185124
"Sydney",2024,3,4135711,3878.78,1.57,-4.37,22.31,2.72,40.19,21.53,4.16,13.09,1.41,65.97,6.59,18.27,9.17,6579707.04,485144,7.37,64.64,4.01,11.88,19.47,238330,53002,163787,30025,14.15,"20260303_093316",19805,33137706
"Sydney",2024,4,4135711,3592.83,1.47,-0.06,18.69,2.14,24.86,10.88,3.39,9.57,1.02,40.51,5.18,12.96,41.35,6579707.04,485144,7.37,64.64,4.01,11.88,19.47,238330,53002,163787,30025,14.15,"20260303_093316",19892,44530585
"Sydney",2026,1,4135711,3913.21,1.58,-5.21,24.19,2.56,47.53,28.72,4.14,13.38,1.29,81.01,3.88,6.75,8.36,6794440.947,509407,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,14.15,"20260303_093316",19562,28513905
"Sydney",2026,2,4135711,3900.52,1.58,-5.53,23.69,2.64,45.82,27.57,4.07,12.89,1.28,78.24,7.01,6.58,8.17,6794440.947,509407,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,14.15,"20260303_093316",19667,30068160
"Sydney",2026,3,4135711,3840.09,1.56,-5.32,21.97,2.74,42,24.32,4.08,12.39,1.21,68.65,7.6,16.29,7.45,6794440.947,509407,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,14.15,"20260303_093316",19808,33764576
"Sydney",2026,4,4135711,3589.24,1.46,-0.16,18.87,2.43,25.91,12.15,3.39,9.44,0.93,42.79,6.51,12.54,38.17,6794440.947,509407,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,14.15,"20260303_093316",19869,43751078
