"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"1","1",13574,12864,12892,-710,28,-682,-0.0502431118314425
"2","2",4344,4543,4045,199,-498,-299,-0.0688305709023941
"3","3",7607,7781,7497,174,-284,-110,-0.0144603654528724
"4","4",8529,7955,7622,-574,-333,-907,-0.106343064837613
"5","5",6228,5705,5942,-523,237,-286,-0.0459216441875401
"6","6",13682,13433,13061,-249,-372,-621,-0.0453881011548019
"7","7",4855,4335,4656,-520,321,-199,-0.0409886714727086
"8","8",16757,16548,16812,-209,264,55,0.00328221041952617
"9","9",7593,6868,7314,-725,446,-279,-0.0367443698143026
"10","10",6744,6904,7276,160,372,532,0.0788849347568209
"11","11",9815,9287,9008,-528,-279,-807,-0.08222109016811
"12","12",14259,14342,13967,83,-375,-292,-0.0204782944105477
"13","13",6685,6689,6653,4,-36,-32,-0.00478683620044877
"15","15",3238,3562,3050,324,-512,-188,-0.0580605311920939
"16","16",10831,9850,9864,-981,14,-967,-0.089280768165451
"17","17",5573,6069,5527,496,-542,-46,-0.00825408218194868
"18","18",13304,13490,13473,186,-17,169,0.012702946482261
"19","19",14981,14892,14074,-89,-818,-907,-0.0605433549162272
"20","20",12199,12249,12441,50,192,242,0.0198376916140667
"21","21",2290,1572,1472,-718,-100,-818,-0.357205240174672
"22","22",10722,10760,9946,38,-814,-776,-0.072374556985637
"23","23",1831,1841,1423,10,-418,-408,-0.222829055161114
"24","24",1082,975,834,-107,-141,-248,-0.229205175600739
"25","25",16982,17670,17742,688,72,760,0.0447532681662937
"26","26",5757,5749,5757,-8,8,0,0
"27","27",4596,4593,4394,-3,-199,-202,-0.0439512619669278
"28","28",16677,15309,14800,-1368,-509,-1877,-0.112550218864304
"29","29",12160,12011,12551,-149,540,391,0.0321546052631579
"30","30",2131,2048,2361,-83,313,230,0.10793054903801
"31","31",14575,14040,14533,-535,493,-42,-0.00288164665523156
"32","32",12078,10909,10680,-1169,-229,-1398,-0.115747640337804
"33","33",6146,6151,5867,5,-284,-279,-0.0453953791083632
"34","34",14221,14245,14253,24,8,32,0.00225019337599325
"35","35",6167,7486,7774,1319,288,1607,0.260580509161667
"37","37",4266,4335,3752,69,-583,-514,-0.120487576183779
"38","38",6886,7099,6758,213,-341,-128,-0.0185884403136799
"39","39",13676,13548,13176,-128,-372,-500,-0.0365603977771278
"41","41",14307,15916,15875,1609,-41,1568,0.109596700915636
"42","42",2566,2380,2483,-186,103,-83,-0.0323460639127046
"43","43",11613,11585,11901,-28,316,288,0.0247997933350555
"44","44",6633,6536,6595,-97,59,-38,-0.00572893110206543
"45","45",11971,13457,11578,1486,-1879,-393,-0.032829337565784
"46","46",15112,14267,13570,-845,-697,-1542,-0.102038115404976
"48","48",3349,3216,3259,-133,43,-90,-0.0268736936398925
"49","49",7635,5784,5261,-1851,-523,-2374,-0.310936476751801
"50","50",9332,9729,10311,397,582,979,0.104907843977711
"51","51",10095,11599,9887,1504,-1712,-208,-0.020604259534423
"52","52",5492,5548,5999,56,451,507,0.0923160961398398
"53","53",13527,13029,12174,-498,-855,-1353,-0.100022177866489
"54","54",7976,8100,7946,124,-154,-30,-0.00376128385155466
"56","56",6397,6347,6426,-50,79,29,0.00453337501954041
"57","57",12743,12645,12902,-98,257,159,0.0124774385937377
"58","58",13867,14805,13080,938,-1725,-787,-0.0567534434268407
"59","59",3978,3696,3689,-282,-7,-289,-0.0726495726495727
"60","60",5388,5221,5341,-167,120,-47,-0.00872308834446919
"61","61",10781,9912,9314,-869,-598,-1467,-0.136072720526853
"62","62",14301,14878,14459,577,-419,158,0.0110481784490595
"64","64",9156,8619,8540,-537,-79,-616,-0.0672782874617737
"65","65",1637,1580,1547,-57,-33,-90,-0.0549786194257789
"66","66",4928,5126,4790,198,-336,-138,-0.0280032467532468
"67","67",7170,6905,7326,-265,421,156,0.0217573221757322
"68","68",8825,9204,9200,379,-4,375,0.0424929178470255
"69","69",7844,7929,8192,85,263,348,0.0443651198368179
"70","70",14922,12408,12005,-2514,-403,-2917,-0.195483179198499
"72","72",10323,10821,11063,498,242,740,0.0716845878136201
"74","74",15310,12930,12323,-2380,-607,-2987,-0.195101241018942
"75","75",10405,9615,9561,-790,-54,-844,-0.0811148486304661
"76","76",14661,16182,14370,1521,-1812,-291,-0.0198485778596276
"78","78",1799,1708,1753,-91,45,-46,-0.0255697609783213
"79","79",6519,5871,6448,-648,577,-71,-0.0108912409878816
"80","80",8723,8718,9634,-5,916,911,0.104436547059498
"81","81",5814,5906,5774,92,-132,-40,-0.00687994496044032
"82","82",13239,12511,12897,-728,386,-342,-0.0258327668252889
