"city","year","lts","found_routes","access_15min_vol"
"sydney",16,3,19736,73672776
"sydney",16,4,19977,137074174
"sydney",21,3,19818,84581472
"sydney",21,4,19937,132792771
"sydney",26,3,19885,89348087
"sydney",26,4,19934,124550875
"sydney",16,1,19841,15546081
"sydney",16,2,19855,16429958
"sydney",19,1,19814,17211327
"sydney",19,2,19824,19854838
"sydney",21,1,19827,18733625
"sydney",21,2,19840,21563820
"sydney",24,1,19417,22183411
"sydney",24,2,19600,24629378
"sydney",26,1,19553,22616653
"sydney",26,2,19663,25272544
