"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",640.192850890263,308.992,0,0,31.328,92,0,2.3,5.7,1,6.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,1138,1138,NA,NA,NA,NA,NA,NA,NA,NA
"10","10",3240.3328075626,523.816,0,0,453.699,56.25,0,4.44,39.31,0,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4356,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","100",1768.52619708842,481.114,83.154,325.702,0,84.25,0,0,15.75,0,17.4,17.4,NA,NA,NA,NA,NA,NA,NA,NA,2660,2660,NA,NA,NA,NA,NA,NA,NA,NA
"1000","1000",1100.16473610119,539.549,0,0,132.819,77.61,0,20.47,1.93,0,14.1,14.1,NA,NA,NA,NA,NA,NA,NA,NA,1959,1959,NA,NA,NA,NA,NA,NA,NA,NA
"10000","10000",1047.9888047205,49.687,0,0,233.006,61.99,0,0,38.01,1,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,1480,1480,NA,NA,NA,NA,NA,NA,NA,NA
"10001","10001",1497.76505045801,180.348,0,0,19.57,74.93,0,0,25.07,0,18.8,18.8,NA,NA,NA,NA,NA,NA,NA,NA,2450,2450,NA,NA,NA,NA,NA,NA,NA,NA
"10002","10002",2708.70404159276,151.387,0,0,0,50.24,0,9.16,40.61,0,52.7,52.7,52.7,52.7,NA,NA,NA,NA,NA,NA,5176,5176,5176,5176,NA,NA,NA,NA,NA,NA
"10003","10003",1958.37540396147,1662.264,227.96,0,0,68.2,1.73,0,30.07,0,47,46.1,NA,NA,NA,NA,NA,NA,NA,NA,5729,5729,NA,NA,NA,NA,NA,NA,NA,NA
"10004","10004",1797.42362165441,817.588,0,0,0,100,0,0,0,0,21.7,21.7,NA,NA,NA,NA,NA,NA,NA,NA,3550,3550,NA,NA,NA,NA,NA,NA,NA,NA
"10005","10005",2326.70808937575,0,0,0,52.041,4.64,0,45.69,49.67,0,82.2,82.2,NA,NA,NA,NA,NA,NA,NA,NA,4865,4865,NA,NA,NA,NA,NA,NA,NA,NA
