"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Taipei",2016,1,4759523,8784.2,1.56,0,22.25,85.1,0.46,6.43,7.99,7434454.635,248675,3.34,51.54,1.67,22.4,24.39,186188,3243,48849,10395,19.2,"20260226_115530",18975,108321651
"Taipei",2016,2,4759523,8754.3,1.55,0,20.12,82.8,2.96,6.25,7.97,7434454.635,248675,3.34,51.54,1.67,22.4,24.39,186188,3243,48849,10395,19.2,"20260226_115530",19026,110510256
"Taipei",2016,3,4759523,8481.3,1.46,0,15.21,51.94,2.53,40.71,4.8,7434454.635,248675,3.34,51.54,1.67,22.4,24.39,186188,3243,48849,10395,19.2,"20260226_115530",19804,178783404
"Taipei",2016,4,4759523,7582.45,1.29,0,6.81,18.67,1.41,21.96,57.94,7434454.635,248675,3.34,51.54,1.67,22.4,24.39,186188,3243,48849,10395,19.2,"20260226_115530",20000,261638183
"Taipei",2021,1,4759523,8289.06,1.43,-5.64,16.02,93.2,0.56,3.32,2.91,9813536.25,315605,3.22,61.21,2.71,19.26,16.81,204783,9593,84864,16364,19.2,"20260226_115530",19625,174293431
"Taipei",2021,2,4759523,8216.16,1.42,-6.15,15.25,84.91,9.09,3.13,2.86,9813536.25,315605,3.22,61.21,2.71,19.26,16.81,204783,9593,84864,16364,19.2,"20260226_115530",19722,181198946
"Taipei",2021,3,4759523,7985.09,1.36,-5.85,11.57,58.77,7.96,31.81,1.45,9813536.25,315605,3.22,61.21,2.71,19.26,16.81,204783,9593,84864,16364,19.2,"20260226_115530",19957,228875262
"Taipei",2021,4,4759523,7465.28,1.27,-1.55,7.09,32.6,4.93,20.59,41.87,9813536.25,315605,3.22,61.21,2.71,19.26,16.81,204783,9593,84864,16364,19.2,"20260226_115530",19993,265247145
"Taipei",2026,1,4759523,8195.5,1.41,-6.7,23.74,93.52,1.18,2.45,2.84,10134840.739,429484,4.24,61.8,5.13,15.32,17.75,221531,30686,101913,75353,19.2,"20260226_115530",19750,174710424
"Taipei",2026,2,4759523,8100.14,1.38,-7.47,21.92,83.21,12.05,2.11,2.62,10134840.739,429484,4.24,61.8,5.13,15.32,17.75,221531,30686,101913,75353,19.2,"20260226_115530",19861,191065258
"Taipei",2026,3,4759523,7886.39,1.34,-7.01,17.69,60.33,12.67,25.11,1.88,10134840.739,429484,4.24,61.8,5.13,15.32,17.75,221531,30686,101913,75353,19.2,"20260226_115530",19963,225137932
"Taipei",2026,4,4759523,7502.17,1.27,-1.06,16,33.79,9.92,16.04,40.24,10134840.739,429484,4.24,61.8,5.13,15.32,17.75,221531,30686,101913,75353,19.2,"20260226_115530",20000,266302310
