"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Taipei",2016,1,4759523,3787.95,1.79,0,26.53,0.91,20.3,11.27,0.12,8.03,0.88,71.62,0.64,11.17,16.5,7434454.635,248675,3.34,51.54,1.67,22.4,24.39,186188,3243,48849,10395,3.99,"20260303_141255",19931,22525254
"Taipei",2016,2,4759523,3780.97,1.79,0,26.08,0.9,19.92,10.89,0.13,8.01,0.89,69.99,2.8,10.83,16.32,7434454.635,248675,3.34,51.54,1.67,22.4,24.39,186188,3243,48849,10395,3.99,"20260303_141255",19933,23427292
"Taipei",2019,1,4759523,3591.17,1.69,-5.19,22.37,1.17,25.83,9.67,0.15,6.42,9.59,81.56,0.44,7.62,10.37,9521210.856,388787,4.08,62.06,1.51,18.83,17.6,200576,4721,56027,127463,3.99,"20260303_141255",19982,35611807
"Taipei",2019,2,4759523,3577.39,1.68,-5.38,22.03,1.14,25.13,9.29,0.15,6.21,9.48,79.95,2.58,7.22,10.25,9521210.856,388787,4.08,62.06,1.51,18.83,17.6,200576,4721,56027,127463,3.99,"20260303_141255",19982,36603497
"Taipei",2021,1,4759523,3496.98,1.64,-7.68,21.9,1.11,17.94,10.62,0.22,6.46,0.63,83.63,1.36,6.46,8.54,9813536.25,315605,3.22,61.21,2.71,19.26,16.81,204783,9593,84864,16364,3.99,"20260303_141255",19980,36241155
"Taipei",2021,2,4759523,3477.59,1.63,-8.02,21.35,1.04,16.96,10.05,0.22,6.02,0.67,80.4,5.34,6.28,7.97,9813536.25,315605,3.22,61.21,2.71,19.26,16.81,204783,9593,84864,16364,3.99,"20260303_141255",19982,37843270
"Taipei",2024,1,4759523,3424.26,1.61,-9.6,21.57,1.34,20.53,10.99,0.25,4.78,4.5,84.78,2.66,5.89,6.66,9900602.111,348954,3.52,61.11,4.29,17.25,17.35,209377,5673,79179,54725,3.99,"20260303_141255",19985,37659104
"Taipei",2024,2,4759523,3392.25,1.59,-10.28,20.39,1.27,18.66,9.71,0.29,4.61,4.05,79.03,9.81,5.16,5.99,9900602.111,348954,3.52,61.11,4.29,17.25,17.35,209377,5673,79179,54725,3.99,"20260303_141255",19992,40567496
"Taipei",2026,1,4759523,3395.2,1.59,-10.37,21.14,1.74,25.63,12.21,1.29,6.39,5.73,83.24,3.16,5.56,8.03,10134840.739,429484,4.24,61.8,5.13,15.32,17.75,221531,30686,101913,75353,3.99,"20260303_141255",19977,38566091
"Taipei",2026,2,4759523,3348.6,1.57,-11.44,20.02,1.66,23.15,10.43,1.18,6.25,5.3,76.64,11.06,5.1,7.19,10134840.739,429484,4.24,61.8,5.13,15.32,17.75,221531,30686,101913,75353,3.99,"20260303_141255",19997,41699220
