"city","year","lts","found_routes","access_15min_vol"
"taipei",16,3,19804,178783404
"taipei",16,4,20000,261638183
"taipei",21,3,19957,228875262
"taipei",21,4,19993,265247145
"taipei",26,3,19963,225137932
"taipei",26,4,20000,266302310
"taipei",16,1,19931,22525254
"taipei",16,2,19933,23427292
"taipei",19,1,19982,35611807
"taipei",19,2,19982,36603497
"taipei",21,1,19980,36241155
"taipei",21,2,19982,37843270
"taipei",24,1,19985,37659104
"taipei",24,2,19992,40567496
"taipei",26,1,19977,38566091
"taipei",26,2,19997,41699220
