"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"2","2",3109,1790,1632,1767,1767,1767,-0.431650048247025
"3","3",1562,1805,1250,1497,1494,1367,-0.124839948783611
"4","4",1775,1778,1778,2124,2375,2373,0.336901408450704
"5","5",3442,6043,3283,2678,2868,2868,-0.166763509587449
"7","7",6090,2884,2879,2836,2827,2824,-0.536288998357964
"8","8",3611,4230,3277,2798,2841,2841,-0.213237330379396
"9","9",3661,2996,1776,2628,2620,2620,-0.284348538650642
"10","10",1643,1299,1296,1380,1380,1395,-0.150943396226415
"11","11",997,2156,2206,1717,1717,1714,0.719157472417252
"12","12",1174,1811,1811,1880,1879,1887,0.60732538330494
"13","13",4974,3297,2451,2299,2299,2299,-0.537796542018496
"14","14",5379,2850,1991,851,852,852,-0.841606246514222
"3795","3795",5379,2850,1991,851,852,852,-0.841606246514222
"15","15",1384,2433,2438,2084,2080,2080,0.502890173410405
"16","16",3164,3153,3468,3115,3090,3097,-0.0211757269279393
"17","17",2486,2481,2481,2578,2579,2578,0.0370072405470636
"18","18",1627,1617,1948,1244,3373,3373,1.07314074984634
"19","19",3647,6670,3101,3420,3216,3594,-0.0145324924595558
"20","20",4974,2867,2580,1344,1344,1344,-0.729794933655006
"21","21",5701,5663,5447,6098,5330,5294,-0.0713909840378881
"22","22",5315,4291,4280,5741,5162,5162,-0.0287864534336783
"24","24",4054,2614,2609,2766,2579,2579,-0.363838184509127
"25","25",1005,1799,1747,1747,1952,1947,0.937313432835821
"26","26",1677,1674,1661,1652,1852,1852,0.104353011329756
"27","27",3538,3454,3458,3609,3609,3598,0.0169587337478802
"28","28",4476,4476,5142,3097,3175,3174,-0.29088471849866
"30","30",9898,11548,8879,9640,9570,9595,-0.0306122448979592
"31","31",3544,3544,3814,3573,3554,3472,-0.0203160270880361
"32","32",5581,6067,5639,5309,5497,5595,0.00250851101953055
"33","33",4485,4169,3965,3557,3557,3566,-0.204905239687848
"34","34",3683,1071,2031,1203,1203,1203,-0.6733641053489
"35","35",2690,2690,2879,2913,2866,2639,-0.0189591078066914
"36","36",514,514,5744,2931,2931,1466,1.85214007782101
"37","37",2770,6397,6394,5502,5573,5264,0.900361010830325
"38","38",3033,3786,2675,1272,1272,1272,-0.580613254203759
"39","39",5387,4456,5498,3703,3704,3704,-0.312418785966215
"40","40",7062,7062,5025,4168,4033,4030,-0.42934013027471
"41","41",2012,1711,2011,7337,3364,3364,0.671968190854871
"42","42",1560,1562,1402,810,871,871,-0.441666666666667
"43","43",2422,4064,4056,2773,2773,2772,0.144508670520231
"44","44",6883,5299,5299,4912,4912,4912,-0.286357692866483
"45","45",5356,6202,8949,5421,5421,5432,0.0141896938013443
"46","46",6228,6105,5735,6082,6205,6640,0.0661528580603725
"47","47",4189,3141,3592,3981,4090,4087,-0.0243494867510146
"48","48",16404,16404,8633,4496,4796,4789,-0.708059009997562
"49","49",6709,2187,1970,994,994,994,-0.851840810851096
"50","50",2920,1675,5274,2475,2450,2450,-0.160958904109589
"51","51",4941,4574,4831,4817,4817,4817,-0.0250961343857519
"53","53",1730,1154,1153,1713,1713,1313,-0.241040462427746
"54","54",3550,2917,5478,3154,3201,3201,-0.0983098591549296
"55","55",3160,2662,2808,2343,2343,2281,-0.278164556962025
"56","56",3374,3188,3025,3109,4019,4019,0.191167753408417
"58","58",4759,1617,1617,2358,2358,2358,-0.504517755831057
"59","59",2085,2066,2077,2063,2064,2101,0.00767386091127098
"60","60",2671,2671,1828,1392,1392,1382,-0.482590789966305
"3904","3904",2671,2671,1828,1392,1392,1382,-0.482590789966305
"61","61",5087,3437,3125,3107,3106,3106,-0.389424022016906
"63","63",9071,1265,4204,4903,3993,3813,-0.579649432256642
"64","64",3729,309,1478,2835,2773,3070,-0.176722982032717
"65","65",4020,4555,4552,4602,4589,3242,-0.193532338308458
"66","66",9469,9382,9382,8912,9294,9231,-0.0251346499102334
