"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Tokyo","2016",1,22006300,6610.99,1.39,0,1.7,44.04,3.72,26.32,25.93,11931712.127,35904,0.3,21.52,4.56,53.24,20.68,18955,2191,0,14758,"20260225_133414",10908,16176569
"Tokyo","2016",2,22006300,7374.11,1.42,0,1.46,36.94,18.79,24.45,19.82,11931712.127,35904,0.3,21.52,4.56,53.24,20.68,18955,2191,0,14758,"20260225_133414",12591,20044535
"Tokyo","2016",3,22006300,9809.9,1.39,0,1.07,13.1,12.11,69.02,5.77,11931712.127,35904,0.3,21.52,4.56,53.24,20.68,18955,2191,0,14758,"20260225_133414",19801,71120243
"Tokyo","2016",4,22006300,8542.99,1.21,0,0.43,3.68,4.42,24.67,67.24,11931712.127,35904,0.3,21.52,4.56,53.24,20.68,18955,2191,0,14758,"20260225_133414",19955,143272544
"Tokyo","2021",1,22006300,7575.58,1.44,14.59,5.25,64.77,4.51,20.2,10.52,12766472.537,439153,3.44,30.74,6.96,46.69,15.6,37154,66173,302317,33509,"20260225_133414",12990,19822441
"Tokyo","2021",2,22006300,8454.3,1.44,14.65,7.66,48.49,25.8,18.95,6.76,12766472.537,439153,3.44,30.74,6.96,46.69,15.6,37154,66173,302317,33509,"20260225_133414",15405,26469388
"Tokyo","2021",3,22006300,9503.3,1.34,-3.13,10.37,18.88,18.44,60.44,2.24,12766472.537,439153,3.44,30.74,6.96,46.69,15.6,37154,66173,302317,33509,"20260225_133414",19876,85950231
"Tokyo","2021",4,22006300,8512.3,1.21,-0.36,28.39,4.88,7.22,24.09,63.82,12766472.537,439153,3.44,30.74,6.96,46.69,15.6,37154,66173,302317,33509,"20260225_133414",19941,142595295
"Tokyo","2026",1,22006300,8602.64,1.45,30.13,6.43,79.43,5,9.09,6.47,13570218.506,439153,3.24,46.33,11.54,28.68,13.45,37154,66173,302317,33509,"20260225_133414",15718,27251335
"Tokyo","2026",2,22006300,9443.4,1.43,28.06,9.57,52.56,36.02,7.37,4.04,13570218.506,439153,3.24,46.33,11.54,28.68,13.45,37154,66173,302317,33509,"20260225_133414",18452,42724952
"Tokyo","2026",3,22006300,9426.78,1.33,-3.91,10.27,27.79,29.34,40.55,2.3,13570218.506,439153,3.24,46.33,11.54,28.68,13.45,37154,66173,302317,33509,"20260225_133414",19937,87179954
"Tokyo","2026",4,22006300,8524,1.21,-0.22,29.33,8.35,11.85,17.05,62.74,13570218.506,439153,3.24,46.33,11.54,28.68,13.45,37154,66173,302317,33509,"20260225_133414",19955,138899215
