"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Tokyo",2016,1,22006300,3126.41,1.5,0,38.97,0.03,1.23,0.46,0.02,0,0.74,33.21,4.66,31.22,30.89,11931712.127,35904,0.3,21.52,4.56,53.24,20.68,18955,2191,0,14758,8.21,"20260302_174952",19416,214741115
"Tokyo",2016,2,22006300,3255.89,1.54,0,36.27,0.03,1.2,0.52,0.08,0,0.61,29.6,15.59,29.32,25.48,11931712.127,35904,0.3,21.52,4.56,53.24,20.68,18955,2191,0,14758,8.21,"20260302_174952",19528,303814574
"Tokyo",2019,1,22006300,3192.78,1.51,2.12,37.48,0.33,4.34,0.7,0.19,1.87,1.58,43.74,5.48,28.49,22.29,12365892.483,138435,1.12,26.81,6.19,49.31,17.69,20688,15960,79635,22152,8.21,"20260302_174952",19607,266998791
"Tokyo",2019,2,22006300,3337.96,1.55,2.52,33.83,0.35,4.52,0.71,0.47,1.83,1.52,36.89,20.16,26.16,16.79,12365892.483,138435,1.12,26.81,6.19,49.31,17.69,20688,15960,79635,22152,8.21,"20260302_174952",19730,381845531
"Tokyo",2021,1,22006300,3267.75,1.53,4.52,35.34,0.3,2.82,0.7,0.22,1.02,0.88,57.45,4.92,25.07,12.56,12766472.537,170059,1.33,30.74,6.96,46.69,15.6,25713,27722,99203,17421,8.21,"20260302_174952",19637,369585370
"Tokyo",2021,2,22006300,3361.96,1.55,3.26,31.77,0.31,3.22,0.68,0.45,1.36,0.73,46.2,21.31,23.07,9.42,12766472.537,170059,1.33,30.74,6.96,46.69,15.6,25713,27722,99203,17421,8.21,"20260302_174952",19735,501683507
"Tokyo",2024,1,22006300,3292.33,1.53,5.31,33.99,0.64,5.03,0.98,0.46,1.72,1.87,63.6,5.04,20.94,10.41,13226020.919,294873,2.23,34.64,7.61,43.53,14.22,29962,70692,171905,22314,8.21,"20260302_174952",19723,421740136
"Tokyo",2024,2,22006300,3370.41,1.55,3.52,30.12,0.66,6.44,0.96,1.12,2.79,1.57,49.68,23.51,19.07,7.73,13226020.919,294873,2.23,34.64,7.61,43.53,14.22,29962,70692,171905,22314,8.21,"20260302_174952",19802,566829223
"Tokyo",2026,1,22006300,3372.29,1.55,7.86,31.11,1,6.56,1.98,0.21,2.27,2.1,73.87,6.18,12.05,7.9,13570218.506,434955,3.21,46.33,11.54,28.68,13.45,35812,65539,300237,33367,8.21,"20260302_174952",19733,466592155
"Tokyo",2026,2,22006300,3389.09,1.56,4.09,26.18,1.12,9.53,1.59,0.93,5.15,1.87,53.5,30.88,10.21,5.42,13570218.506,434955,3.21,46.33,11.54,28.68,13.45,35812,65539,300237,33367,8.21,"20260302_174952",19792,732878501
