"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",3625,4709,5038,4420,4962,0.368827586206897
"2","2",2428,2511,2515,2447,2805,0.155271828665568
"3","3",5401,5191,5134,5133,5306,-0.0175893353082762
"4","4",1780,1820,1708,1659,1749,-0.0174157303370787
"5","5",1595,1731,1752,1824,1524,-0.0445141065830721
"6","6",1311,1307,1304,1304,1532,0.168573607932876
"7","7",1427,1558,1316,1435,1330,-0.0679747722494744
"8","8",1265,1265,1302,1252,1440,0.138339920948617
"9","9",5076,3292,3441,3608,4713,-0.0715130023640662
"10","10",4381,4823,5718,5645,5868,0.339420223693221
"12","12",2191,2379,2977,2326,2381,0.0867183934276586
"6991","6991",2191,2379,2977,2326,2381,0.0867183934276586
"13","13",5809,4806,4628,5093,4974,-0.143742468583233
"14","14",4644,4470,5087,5433,5400,0.162790697674419
"15","15",2471,2333,2348,2348,2598,0.0513961958721166
"16","16",1874,1774,1698,1695,1492,-0.20384204909285
"2247","2247",1874,1774,1698,1695,1492,-0.20384204909285
"17","17",2985,2659,2596,2713,3093,0.0361809045226131
"18","18",6780,6805,6616,6472,6781,0.000147492625368732
"19","19",3092,3423,3416,3413,3713,0.200840879689521
"21","21",2821,3030,2902,2800,2898,0.0272952853598015
"22","22",4924,4918,4962,5130,4893,-0.00629569455727051
"23","23",2049,2045,2045,2033,2061,0.00585651537335286
"24","24",4353,4316,5979,4627,4947,0.136457615437629
"25","25",816,792,793,793,794,-0.0269607843137255
"26","26",2864,2849,2841,2850,2803,-0.0212988826815642
"27","27",2104,2001,2182,2084,2339,0.111692015209125
"28","28",3095,3349,3580,3451,3591,0.160258481421648
"29","29",3441,3440,3446,3432,3533,0.026736413833188
"30","30",1548,1812,1836,1335,1476,-0.0465116279069767
"32","32",5013,5447,5378,5367,5599,0.116896070217435
"33","33",2600,3026,2875,3201,2892,0.112307692307692
"34","34",3322,3313,3348,3537,3564,0.0728476821192053
"35","35",2682,2700,2675,3355,3355,0.250932140193885
"36","36",2972,3429,3799,3798,3746,0.26043068640646
"37","37",7752,8152,7219,7260,7276,-0.0614035087719298
"38","38",3057,3073,2991,3026,3051,-0.00196270853778214
"39","39",1695,1605,1607,1649,1979,0.167551622418879
"41","41",5031,5196,3907,5016,5237,0.0409461339693898
"42","42",8085,6707,7719,7872,7060,-0.126777983920841
"43","43",1062,1062,1068,1067,1067,0.00470809792843691
"45","45",4978,4978,5415,5478,5486,0.102049015668943
"46","46",3238,3276,3552,2924,3071,-0.0515750463248919
"47","47",1142,1060,1054,1199,1223,0.0709281961471103
"48","48",5930,6166,6378,6294,6891,0.162057335581788
"49","49",3729,3633,3864,4384,4377,0.173773129525342
"50","50",5424,5571,6245,6173,6416,0.182890855457227
"51","51",5068,5120,5070,4898,5378,0.0611681136543015
"52","52",1543,1533,1533,1534,1486,-0.0369410239792612
"54","54",2453,2362,2416,2463,2558,0.0428047289033836
"55","55",1852,1785,1725,1704,1652,-0.107991360691145
"56","56",7027,6958,7032,7154,7184,0.0223423936245909
"58","58",2810,2359,2526,2538,2129,-0.242348754448399
"59","59",2114,2134,2395,2713,2392,0.131504257332072
"60","60",4333,4701,4793,4609,4843,0.117701361643203
"61","61",2240,2331,2684,2669,2634,0.175892857142857
"62","62",1268,1267,1392,1387,1395,0.100157728706625
"63","63",1449,1432,1343,1315,1483,0.0234644582470669
"64","64",2480,2433,2181,2416,2384,-0.0387096774193548
"65","65",3714,3963,3907,3985,4045,0.089122240172321
