"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",6843,6310,5996,5849,5894,-0.138681864679234
"2","2",2283,2397,2340,2340,2339,0.0245291283399036
"1233","1233",2283,2397,2340,2340,2339,0.0245291283399036
"3","3",1646,1646,2591,1767,1800,0.0935601458080194
"6039","6039",1646,1646,2591,1767,1800,0.0935601458080194
"12174","12174",1646,1646,2591,1767,1800,0.0935601458080194
"18045","18045",1646,1646,2591,1767,1800,0.0935601458080194
"4","4",2056,2451,2358,2657,2266,0.102140077821012
"5","5",1310,1869,1484,1896,1828,0.395419847328244
"6","6",5567,5398,6726,6020,5835,0.0481408298904257
"7","7",10178,10080,9060,10209,10383,0.0201414816270387
"8","8",1852,2088,2057,1971,2335,0.260799136069114
"3101","3101",1852,2088,2057,1971,2335,0.260799136069114
"9","9",1435,2499,1886,2540,2552,0.778397212543554
"10","10",2691,2216,2050,2053,1660,-0.38312894834634
"11","11",3617,3290,4390,4384,4647,0.284766380978712
"12","12",1951,1955,2115,1831,1830,-0.062019477191184
"13","13",3202,3694,3108,3383,3380,0.0555902560899438
"14","14",5467,5521,5766,5842,5735,0.0490214011340772
"15","15",2969,2803,3096,2965,2737,-0.0781407881441563
"16","16",2078,2138,2003,1645,1821,-0.123676612127045
"17","17",3439,3542,3500,3572,3984,0.158476301250363
"18","18",1543,1328,1365,1370,1393,-0.0972132209980557
"19","19",2789,2773,2766,2792,2793,0.00143420580853352
"20","20",5297,4961,5215,5740,5736,0.0828771002454219
"21","21",2864,2687,2916,3879,3745,0.307611731843575
"22","22",6241,5600,6301,6685,6442,0.0322063771831437
"23","23",4081,4368,4512,4372,4331,0.0612594952217594
"24","24",3767,3767,3397,3394,3493,-0.0727369259357579
"26","26",6718,9727,6536,6905,6904,0.0276868115510569
"27","27",1337,1406,1506,1389,1592,0.190725504861631
"28","28",1375,1284,1556,1273,1274,-0.0734545454545455
"29","29",7188,6493,6497,6008,5910,-0.17779632721202
"30","30",10268,12387,11120,10669,10701,0.042169848071679
"31","31",5077,4867,4886,4011,4073,-0.197754579476069
"32","32",4623,3708,3713,4213,4071,-0.119402985074627
"33","33",4008,3737,3665,5629,5612,0.400199600798403
"34","34",4546,3664,3462,4033,3831,-0.157281126264848
"35","35",2259,3252,2580,2399,2373,0.050464807436919
"36","36",3073,2982,4225,2643,2187,-0.288317604946307
"37","37",3348,4395,3623,3541,3621,0.0815412186379928
"38","38",2880,3156,2906,2898,2914,0.0118055555555556
"39","39",3265,3219,3250,2767,2769,-0.151914241960184
"40","40",6801,4575,6865,6877,6951,0.0220555800617556
"41","41",4204,4026,4066,3995,4299,0.0225975261655566
"42","42",7258,6476,5249,5752,5736,-0.209699641774594
"44","44",12551,12448,11432,14379,12532,-0.00151382359971317
"45","45",1819,1917,1919,2482,1742,-0.0423309510720176
"46","46",2474,2318,2169,2179,2179,-0.119240097008892
"47","47",2484,2626,2582,2811,2786,0.121578099838969
"48","48",3664,3778,3784,3817,3855,0.0521288209606987
"49","49",1844,1876,1850,1969,1791,-0.0287418655097614
"50","50",1755,1754,1813,1635,1635,-0.0683760683760684
"51","51",2204,2202,2337,2366,2376,0.0780399274047187
"52","52",5321,4633,5096,4093,4192,-0.212178161999624
"54","54",1049,1049,976,887,892,-0.149666348903718
"55","55",1295,1291,1659,1655,1740,0.343629343629344
"56","56",3978,4529,3725,3589,3574,-0.101558572146807
"57","57",900,902,895,746,748,-0.168888888888889
"19554","19554",900,902,895,746,748,-0.168888888888889
"58","58",1473,1810,1573,1538,1538,0.0441276306856755
"59","59",2899,2771,2803,3402,3313,0.142807864780959
"60","60",10121,10016,9562,9361,9429,-0.0683726904456081
"61","61",3091,2644,2805,2879,2895,-0.0634098997088321
"62","62",4318,4203,1697,1648,1560,-0.638721630384437
"63","63",3764,3599,3119,3278,3208,-0.147715196599362
"64","64",2304,2970,2720,2735,2379,0.0325520833333333
"65","65",3504,3260,3128,3034,2782,-0.206050228310502
"66","66",3124,3125,3125,3525,3517,0.125800256081946
"67","67",2442,2193,1828,1833,1831,-0.25020475020475
"68","68",3201,3107,2994,3175,3174,-0.0084348641049672
"69","69",1759,1730,1702,1821,1799,0.022740193291643
"70","70",1762,1834,1637,1641,1642,-0.0681044267877412
"15972","15972",1762,1834,1637,1641,1642,-0.0681044267877412
"19321","19321",1762,1834,1637,1641,1642,-0.0681044267877412
"71","71",2427,2530,2841,2793,3090,0.273176761433869
"72","72",6426,7486,6841,6825,6777,0.0546218487394958
"73","73",7322,7042,7205,7589,7345,0.00314121824638077
"74","74",4292,4494,5401,5644,5615,0.308247903075489
"75","75",6585,6669,6011,6267,6098,-0.073955960516325
"76","76",7516,6774,6954,6974,6656,-0.114422565194252
"77","77",6733,6840,5195,5970,5601,-0.168127135006683
"78","78",2184,2348,2392,2351,2457,0.125
"79","79",1538,1146,1302,1258,1253,-0.185305591677503
"80","80",5870,5325,5365,5771,5277,-0.101022146507666
"81","81",4919,3843,2900,2575,2577,-0.476113031103883
"82","82",3107,3036,3050,3344,3951,0.271644673318313
"83","83",4153,3705,3340,3426,2978,-0.282928003852637
"84","84",3036,2592,2752,2770,2575,-0.151844532279315
"85","85",4314,4496,4451,4463,4456,0.0329160871580899
"86","86",2678,2612,2925,3353,3107,0.160194174757282
"87","87",1457,1742,1306,1259,1259,-0.135895676046671
