"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",50.6,45.2,45.3,44.7,36.8,34.8,35.3,34.6,38,35.3,6843,6742,6310,6531,5996,6001,5849,5833,5894,5963
"10","10",20.7,20.7,21.6,21.6,15.8,15.6,15.9,15.7,13.2,12.9,2691,2691,2216,2216,2050,2050,2053,2053,1660,2079
"100","100",28.5,27.6,16.6,16.6,16.6,16.5,20.5,19.3,19.5,18.6,2229,2244,2734,2734,2645,2625,2563,2496,2586,2616
"1000","1000",29.4,29.4,24.8,24.7,22,22,20.1,20.1,19.8,19.6,2186,2186,2648,2647,2659,2659,3201,3201,3234,3234
"10000","10000",36.9,26.7,36.9,26.7,14.8,14.8,37.2,31.3,20.1,20.1,2684,3109,2328,2752,2264,2264,4519,4274,2937,2937
"10001","10001",28.8,28.8,20.3,20.3,19.5,19.5,19.5,19.5,19.3,16.1,2042,2042,1960,1960,1901,1901,1901,1901,1911,1911
"10002","10002",32.7,32.7,28.8,28.8,22.6,22.6,20.2,20.2,22,21,2101,2101,3400,3402,3019,3019,2985,2985,3014,2265
"10003","10003",40.7,40.7,23.7,22.2,18.1,18.1,21,21,18.1,17.6,3004,3004,3101,3152,3179,3179,3564,3564,3076,3076
"10004","10004",20.7,20.7,17.8,17.8,19.6,19.6,12.6,12.6,16.3,11.2,1789,1789,2141,2141,2303,2303,2020,2020,1953,1998
"10005","10005",61.9,61.9,50.7,50.7,40.2,40.2,43.6,43.4,45.5,42.2,5912,5912,5938,5938,5661,5661,6226,6746,6654,6034
"10006","10006",42.4,42.4,42.3,42.3,27.3,27.3,26,26,26.1,24.4,2432,2432,5586,5588,4478,4478,4613,4613,4274,4179
"10007","10007",26.8,26.8,11.4,11.4,13.2,13.2,11.9,11.9,12.8,12.6,3243,3243,2202,2202,2286,2286,2022,2022,2014,2014
"10008","10008",49,49,50.4,50.4,50.4,50.4,37.5,28.9,35.9,27,3212,3212,3415,3415,3415,3415,3799,3856,3789,3858
"10009","10009",20,18.3,15.6,15.6,12.9,12.9,10.1,10.1,10.1,10.1,1809,2475,2325,2325,1724,1724,1721,1721,1720,1720
"1001","1001",14,14,14,14,13.1,13.1,13.6,12.5,14.4,11.8,2306,2306,2306,2306,2378,2378,2255,1960,2254,1957
"10010","10010",44.1,44.1,47.1,47.1,43.5,43.5,42.4,42.4,36.3,36,4605,4605,4319,4319,4314,4314,4326,4326,3936,3936
"10011","10011",27.6,27.6,16.5,15.3,13.4,13.4,17.2,16.4,16.4,12.8,2181,2181,2203,2457,2052,2052,2369,2370,2530,2064
"10012","10012",33.6,33.6,27.5,27.3,22.2,22.2,26.9,26.9,23.1,22.8,3920,3920,3758,3758,3367,3367,3649,3649,3545,3529
"10013","10013",64.5,62.8,45.2,45.2,37.6,37.6,37.5,33.3,36.2,34.8,5798,5691,6384,6384,6040,6040,6090,5773,6012,5862
"10014","10014",48.9,36.7,33,28.9,26.1,26,24.6,24.4,25.8,25.7,5043,4954,5283,4977,4000,4013,3969,3969,4359,4359
"10015","10015",15.7,15.7,9.8,9.8,9.6,9.6,13.3,13.3,13,13,1846,1846,1815,1815,1624,1624,1798,1798,1798,1798
"10016","10016",76.9,69.5,61.5,58.9,44.4,44.4,50.3,50.2,49.1,46.8,7267,7342,6793,6691,6594,6593,7114,6727,7512,7442
"10017","10017",21.6,21.6,10,8.8,9,8.9,17,14.9,13.7,10.3,1474,1474,1440,1440,1439,1439,1333,1333,1297,1345
"10019","10019",17.9,17.9,12.3,12.3,8.4,8.4,8.4,8.3,8.4,7.1,1327,1327,1393,1393,1398,1398,1398,1402,1398,1355
"1002","1002",28,28,25.3,25.2,16.2,16,18.2,17.7,18.1,17.5,2877,2877,2928,2928,2802,2789,2819,2853,2819,2853
"10020","10020",22.6,22.5,15,15,16.1,16.1,17.6,17.6,17.8,17.8,2778,3505,2585,2585,2476,2476,2605,2605,2608,2622
"10021","10021",26.7,26.7,20,20,18.7,15.7,19.2,14.4,18.7,10.8,1683,1683,2044,2044,2030,2072,2177,2000,2203,1815
"10022","10022",23.6,23.6,16.5,16.5,14.3,13.9,15.2,15.2,16.6,12,1640,1640,2474,2474,1674,1710,1571,1558,2379,1736
"10023","10023",9.2,9.2,5.4,5.4,6.2,6.2,7.1,7.1,9.1,7.6,740,740,930,930,829,829,1013,1013,840,948
"10024","10024",29,29,22.3,22.3,20.4,20.4,17.9,17.9,21.1,20.9,3722,3722,2699,2699,2699,2699,2613,2657,3086,3113
"10025","10025",38.6,35.2,35.5,32.8,31.5,29,27.1,26.4,27.5,27.4,3757,3763,4305,4311,4079,3876,3878,3878,3876,3876
"10026","10026",13.9,13.9,11.4,11.4,12.2,12.2,13.1,11.9,13.2,12,1747,1747,1740,1740,2011,2011,1795,1789,1795,1791
"10027","10027",23.5,23.5,23.9,21.2,15.3,14.6,12.8,12.8,12.4,12.4,1745,1745,1785,1800,1418,1503,1418,1418,1774,1774
"10028","10028",41.5,41.5,24,24,26.2,26,29.8,29.8,29.4,27.1,3426,3426,3460,3460,3345,3343,3828,3828,3575,3497
"10029","10029",44.5,44.5,25.9,25.9,24.9,24.6,27.8,24.9,27,23.9,4559,4559,4423,4423,4067,4183,4072,4179,4517,4370
"1003","1003",44,44,41,41,35.9,28,28.9,21.2,28.9,21.2,3655,3655,3730,3730,2941,3232,3293,3577,3099,3082
"10030","10030",56.5,56.5,52.9,52.5,48,48,61.3,61.2,60.1,59.6,7077,7077,6392,6479,6413,6413,6954,5893,6611,6611
"10031","10031",25.5,25.5,18.3,18.3,18.1,17.8,17.8,17.5,18,17.5,2581,2582,2909,2909,2776,2830,2643,2643,2643,2645
"10032","10032",30,30,20.2,20.2,19.6,19.6,18.6,18.6,21.2,20.5,3354,3352,3310,3310,3468,3468,3126,3131,3136,3136
"10033","10033",23.2,23.2,21.7,16.2,14.5,12.6,19.4,11.2,18.2,12.1,1444,1444,1377,1377,2058,1832,1832,1832,1982,1403
