"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Vancouver","2016",1,1458415,7886.1,1.49,0,17.14,89.89,0.85,3.93,5.3,5135776.16,163071,3.18,67.32,2.27,13.24,17.17,90423,57143,7774,7730,NA,"20260226_041959",19429,77721467
"Vancouver","2016",2,1458415,7958.67,1.5,0,18.26,86.83,4.89,3.57,4.69,5135776.16,163071,3.18,67.32,2.27,13.24,17.17,90423,57143,7774,7730,NA,"20260226_041959",19625,89947202
"Vancouver","2016",3,1458415,7843.66,1.46,0,20.15,70.43,4.44,21.9,3.21,5135776.16,163071,3.18,67.32,2.27,13.24,17.17,90423,57143,7774,7730,NA,"20260226_041959",19936,134134639
"Vancouver","2016",4,1458415,7263.08,1.36,0,15.77,41.2,2.28,14.12,42.38,5135776.16,163071,3.18,67.32,2.27,13.24,17.17,90423,57143,7774,7730,NA,"20260226_041959",19947,188005541
"Vancouver","2021",1,1458415,7731.21,1.47,-1.96,22.9,94.77,0.53,2.78,1.91,5367712.352,197331,3.68,70.87,2.05,15.53,11.55,112622,55576,20006,9127,NA,"20260226_041959",19361,106257621
"Vancouver","2021",2,1458415,7796.99,1.47,-2.03,24.44,91.95,3.68,2.6,1.76,5367712.352,197331,3.68,70.87,2.05,15.53,11.55,112622,55576,20006,9127,NA,"20260226_041959",19601,119994569
"Vancouver","2021",3,1458415,7683.42,1.43,-2.04,22.38,70.73,4.19,23.78,1.29,5367712.352,197331,3.68,70.87,2.05,15.53,11.55,112622,55576,20006,9127,NA,"20260226_041959",19884,154841997
"Vancouver","2021",4,1458415,7286.9,1.36,0.33,18.83,47.16,2.81,18.71,31.31,5367712.352,197331,3.68,70.87,2.05,15.53,11.55,112622,55576,20006,9127,NA,"20260226_041959",19897,185745578
"Vancouver","2026",1,1458415,7970.21,1.51,1.07,37.88,95.27,0.61,1.17,2.94,5572622.174,272120,4.88,81.29,3.86,5.99,8.86,125275,52246,80227,14372,NA,"20260226_041959",19717,80495733
"Vancouver","2026",2,1458415,7979.58,1.51,0.26,38.11,91.25,4.6,1.19,2.96,5572622.174,272120,4.88,81.29,3.86,5.99,8.86,125275,52246,80227,14372,NA,"20260226_041959",19837,87305615
"Vancouver","2026",3,1458415,7981.58,1.5,1.76,38.68,87.61,4.6,4.88,2.9,5572622.174,272120,4.88,81.29,3.86,5.99,8.86,125275,52246,80227,14372,NA,"20260226_041959",19882,92261303
"Vancouver","2026",4,1458415,7873.43,1.48,8.4,40.8,69.73,3.18,5.18,21.91,5572622.174,272120,4.88,81.29,3.86,5.99,8.86,125275,52246,80227,14372,NA,"20260226_041959",19997,118473655
