"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Vancouver",2016,1,1458415,3337.27,1.59,0,19.82,1.02,30.62,15.29,13.74,1.31,0.28,71.19,3.8,14.01,10.99,5135776.16,163071,3.18,67.32,2.27,13.24,17.17,90423,57143,7774,7730,4.04,"20260303_142640",19995,50466154
"Vancouver",2016,2,1458415,3328.38,1.58,0,19.37,1.03,29.72,14.51,13.63,1.3,0.28,70.1,5.67,13.51,10.72,5135776.16,163071,3.18,67.32,2.27,13.24,17.17,90423,57143,7774,7730,4.04,"20260303_142640",19996,52383822
"Vancouver",2019,1,1458415,3292.15,1.56,-1.35,19.03,1.28,32.43,17.45,12.47,1.81,0.7,75.36,3.89,11.69,9.06,5258745.37,180971,3.44,69.58,2.32,12.04,16.07,104765,55670,8884,11653,4.04,"20260303_142640",19993,54721597
"Vancouver",2019,2,1458415,3288.31,1.56,-1.2,18.64,1.28,31.64,16.85,12.43,1.7,0.66,74.12,5.75,11.27,8.86,5258745.37,180971,3.44,69.58,2.32,12.04,16.07,104765,55670,8884,11653,4.04,"20260303_142640",19994,56481613
"Vancouver",2021,1,1458415,3261.04,1.55,-2.28,18.36,1.32,35.18,18.5,11.83,4.29,0.55,76.23,3.55,12.99,7.22,5367712.352,197331,3.68,70.87,2.05,15.53,11.55,112622,55576,20006,9127,4.04,"20260303_142640",19851,58451235
"Vancouver",2021,2,1458415,3261.11,1.55,-2.02,18.16,1.35,34.39,17.89,11.76,4.2,0.53,75.76,4.49,12.63,7.12,5367712.352,197331,3.68,70.87,2.05,15.53,11.55,112622,55576,20006,9127,4.04,"20260303_142640",19854,59543501
"Vancouver",2024,1,1458415,3203.97,1.52,-3.99,17.63,1.75,47.85,20.77,7.84,18.89,0.36,82.23,3.14,4.1,10.53,5520868.149,324611,5.88,80.1,3.09,7.78,9.04,129384,49779,139419,6029,4.04,"20260303_142640",19853,61041477
"Vancouver",2024,2,1458415,3196.27,1.51,-3.97,17.42,1.82,45.83,19.9,7.52,18.06,0.35,80.94,4.86,4.06,10.14,5520868.149,324611,5.88,80.1,3.09,7.78,9.04,129384,49779,139419,6029,4.04,"20260303_142640",19855,62124525
"Vancouver",2026,1,1458415,3353.93,1.59,0.5,20.7,1.7,45.41,22.22,10.82,10.99,1.37,80.51,3.26,3.83,12.39,5572622.174,272120,4.88,81.29,3.86,5.99,8.86,125275,52246,80227,14372,4.04,"20260303_142640",19994,44575681
"Vancouver",2026,2,1458415,3352.08,1.59,0.71,20.5,1.76,44.41,21.66,10.55,10.87,1.34,79.61,4.56,3.71,12.13,5572622.174,272120,4.88,81.29,3.86,5.99,8.86,125275,52246,80227,14372,4.04,"20260303_142640",19997,45311003
