"city","year","lts","found_routes","access_15min_vol"
"vancouver",16,3,19936,134134639
"vancouver",16,4,19947,188005541
"vancouver",21,3,19884,154841997
"vancouver",21,4,19897,185745578
"vancouver",26,3,19882,92261303
"vancouver",26,4,19997,118473655
"vancouver",16,1,19855,746367294
"vancouver",16,2,19914,900089517
"vancouver",19,1,19928,953498486
"vancouver",19,2,19955,1133514666
"vancouver",21,1,19758,1105584896
"vancouver",21,2,19808,1282040074
"vancouver",24,1,19816,1214611555
"vancouver",24,2,19826,1328048982
"vancouver",26,1,19936,1022651156
"vancouver",26,2,19945,1136852937
