"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",10.3,10.3,20.7,18.3,10.3,10.3,10.3,10.3,18.9,18.5,10.9,10.9,21.7,21.7,22.2,21.9,2180,2180,3791,3767,2196,2196,2196,2196,3772,3770,2153,2153,2951,2951,3689,3689
"10","10",14.7,12.6,27.8,26.4,14.5,12.7,12,11.1,28,26.7,11.3,11.1,12.7,12.2,37.6,34,1514,1653,5444,5210,1498,1503,1629,1628,5224,5173,969,971,1181,1181,5599,6023
"100","100",33.2,29.4,28.2,25.7,25.6,23.3,23.1,21.7,28.2,25.5,25.2,23.8,25.7,23.8,30.6,28,5468,5296,5392,5039,4120,3953,3955,3935,5142,4984,4080,4046,3992,3944,5393,5257
"1000","1000",21.7,18.5,63.5,58.2,19.5,12.8,14.2,11.1,62,58.8,13.8,13.1,13.5,12.9,74,67.7,1437,1665,12044,11697,1591,1684,2063,2041,11942,11751,1796,1969,1795,1971,12414,12579
"10000","10000",34.5,28.8,28.3,25.5,23.9,22.1,20.7,19.4,27.2,25.7,21.5,19.6,21.7,19.9,40.3,39.2,3859,3097,5766,5396,2978,3042,2545,2545,5588,5303,2449,2434,2457,2436,6071,5938
"10001","10001",15.7,15.7,23.6,22.9,10.2,10.2,11.4,10.3,27.6,26.7,10.3,10.2,10.6,10.5,34.5,32.2,1928,1925,4723,4641,1870,1870,1711,1897,4905,4811,1688,1688,1669,1669,5042,5681
"10002","10002",47.7,46.5,27.9,25.9,51.1,50,59.4,53.3,29.4,26.6,52.1,48.5,46,40.6,33.7,29,8467,8463,5565,5189,8246,8246,9146,8850,5702,5308,9453,8499,8638,7418,5509,5456
"10003","10003",9.6,9.6,27.8,24.6,8.4,8.4,7.6,7.6,27.1,25.7,7.9,7.9,18.1,16.3,30.8,30.4,1486,1486,5365,4934,1485,1485,1518,1518,5341,5031,1518,1518,1661,1661,5324,5323
"10004","10004",7.4,7.4,3.4,3.4,7.4,7.4,8.2,8.2,3.4,3.4,6.6,6.6,7.3,7.3,4.6,3.8,1365,1365,763,763,1365,1365,1364,1364,764,764,1294,1294,1369,1369,767,767
"10005","10005",8.8,8.8,9.7,8.8,8.9,8.9,8.9,8.9,10.8,10,7.6,7.6,13.6,13.6,14.9,14.2,1834,1834,1778,1778,1843,1843,1843,1843,1985,1985,1448,1448,1860,1860,2052,2320
"10006","10006",10,10,30.1,28.7,9,9,9.1,9.1,30.5,28.9,8.8,8.8,11.4,11.4,37.4,33.1,1534,1534,5850,5612,1708,1708,1707,1707,6067,5573,1488,1488,1874,1874,6215,6196
"10007","10007",35.9,32.7,24.5,22,30.4,27.1,25.4,25,24.2,22.5,26.4,24.9,29.4,28.1,29.6,28.2,5301,5308,4426,4259,5004,4515,4407,4404,4467,4287,4396,4379,4547,4557,4322,4309
"10008","10008",39,39,84.8,74.3,38.9,38.9,35.1,35.1,83,75.2,33.2,33.2,38.3,38.3,92.2,79.5,6432,6432,15858,14661,7059,7059,7163,7163,15583,14733,6167,6167,6412,6412,15824,14881
"10009","10009",24.2,24.2,21.4,18.8,21.8,21.8,21.3,21.3,22.9,19.1,19.2,19.2,30.2,30.2,34.5,31.3,3731,3730,3734,3734,3695,3695,3742,3742,3773,3746,3618,3618,4591,4593,5203,5247
