"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Vienna",2016,1,2065500,3376.36,1.52,0,19.83,2.45,51.44,31.93,15.93,0.89,2.69,77.7,4.79,7.49,10.01,5075622.056,455780,8.98,62.62,4.42,8.43,24.53,296052,123804,11111,24812,4.78,"20260303_143126",20000,81001932
"Vienna",2016,2,2065500,3348.79,1.51,0,19.19,2.49,49.14,30.42,15.33,0.86,2.53,74.18,9.24,7.19,9.38,5075622.056,455780,8.98,62.62,4.42,8.43,24.53,296052,123804,11111,24812,4.78,"20260303_143126",20000,86085727
"Vienna",2019,1,2065500,3335.82,1.5,-1.2,19.37,2.55,52.4,30,17.54,1.3,3.56,80.07,5.28,6.3,8.35,5257968.895,487345,9.27,65.37,4.4,7.5,22.73,295596,140620,12912,38217,4.78,"20260303_143126",19965,83767444
"Vienna",2019,2,2065500,3304.55,1.49,-1.32,18.76,2.59,49.78,28.43,16.77,1.2,3.37,76.54,9.74,6.08,7.64,5257968.895,487345,9.27,65.37,4.4,7.5,22.73,295596,140620,12912,38217,4.78,"20260303_143126",19965,88534677
"Vienna",2021,1,2065500,3315.12,1.49,-1.81,18.95,2.6,52.3,28.92,17.49,1.55,4.34,81.53,5.48,5.04,7.94,5455502.921,509227,9.33,67.7,4.51,6.48,21.3,295409,149319,15449,49048,4.78,"20260303_143126",20000,87579554
"Vienna",2021,2,2065500,3285.66,1.48,-1.89,18.42,2.64,49.98,27.57,16.77,1.5,4.14,78.16,9.48,4.88,7.48,5455502.921,509227,9.33,67.7,4.51,6.48,21.3,295409,149319,15449,49048,4.78,"20260303_143126",20000,91801602
"Vienna",2024,1,2065500,3337.27,1.5,-1.16,19.34,2.59,58.27,32.55,16.84,4.96,3.92,83.65,3.21,4.4,8.72,5634362.551,553994,9.83,70.46,3.9,5.45,20.19,313389,144023,47038,49545,4.78,"20260303_143126",20000,80724325
"Vienna",2024,2,2065500,3318.41,1.49,-0.91,19.02,2.65,56.62,31.87,16.38,4.62,3.76,81.7,5.69,4.16,8.44,5634362.551,553994,9.83,70.46,3.9,5.45,20.19,313389,144023,47038,49545,4.78,"20260303_143126",20000,83802167
"Vienna",2026,1,2065500,3329.16,1.49,-1.4,19.54,2.34,63.62,36.32,15.74,7.96,3.61,83.91,3.19,4.05,8.85,5816322.645,594950,10.23,71.33,3.46,4.94,20.28,341855,142591,64231,46272,4.78,"20260303_143126",20000,78886915
"Vienna",2026,2,2065500,3320.07,1.49,-0.86,19.35,2.43,62.63,35.56,15.88,7.66,3.54,82.63,4.68,4.01,8.67,5816322.645,594950,10.23,71.33,3.46,4.94,20.28,341855,142591,64231,46272,4.78,"20260303_143126",20000,80734675
