"city","year","lts","found_routes","access_15min_vol"
"vienna",16,3,19980,153892475
"vienna",16,4,19980,206279265
"vienna",21,3,19990,145361840
"vienna",21,4,19990,188606245
"vienna",26,3,20000,120542334
"vienna",26,4,20000,154745151
"vienna",16,1,20000,837927721
"vienna",16,2,20000,926345827
"vienna",19,1,19965,915134616
"vienna",19,2,19965,1001021021
"vienna",21,1,20000,950082782
"vienna",21,2,20000,1041572905
"vienna",24,1,20000,837688481
"vienna",24,2,20000,888959058
"vienna",26,1,20000,839180687
"vienna",26,2,20000,885916152
