"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Warsaw",2016,1,1704570,3686.98,1.73,0,26.35,1.76,31.3,26.5,0.61,0,4.18,85.97,1.04,6.61,6.38,4475274.972,209031,4.67,66.83,1.77,11.29,20.12,160705,13911,0,34416,10.99,"20260302_181558",19962,1749946352
"Warsaw",2016,2,1704570,3675.77,1.73,0,25.43,1.78,31.69,26.02,1.55,0,4.12,81.97,5.38,6.52,6.13,4475274.972,209031,4.67,66.83,1.77,11.29,20.12,160705,13911,0,34416,10.99,"20260302_181558",19962,2026050422
"Warsaw",2019,1,1704570,3504.47,1.64,-4.95,23.65,1.83,39.4,33,0.96,0,5.44,90.6,0.94,3.86,4.59,4762928.154,260680,5.47,70.48,1.87,9.37,18.28,201306,21367,0,38007,10.99,"20260302_181558",20000,2197564199
"Warsaw",2019,2,1704570,3479.95,1.63,-5.33,22.86,1.85,40.97,33.29,2.35,0,5.34,86.41,5.16,4.07,4.36,4762928.154,260680,5.47,70.48,1.87,9.37,18.28,201306,21367,0,38007,10.99,"20260302_181558",20000,2558552526
"Warsaw",2021,1,1704570,3507.01,1.64,-4.88,23.15,1.98,42.66,34.69,1.96,0.23,5.77,92.47,1.15,2.87,3.52,4966570.441,295550,5.95,72.51,2.52,7.93,17.04,224673,23838,1476,45563,10.99,"20260302_181558",19852,2400043093
"Warsaw",2021,2,1704570,3473.41,1.63,-5.51,22.22,2.02,43.11,34.1,3.27,0.24,5.5,86.6,7.03,3.13,3.25,4966570.441,295550,5.95,72.51,2.52,7.93,17.04,224673,23838,1476,45563,10.99,"20260302_181558",19954,2907232357
"Warsaw",2024,1,1704570,3439.5,1.61,-6.71,22.28,2.26,46.09,38.35,0.84,0.27,6.62,94.44,0.56,2.2,2.8,5250429.495,307839,5.86,75.66,2.36,6.88,15.1,224885,22937,1954,58062,10.99,"20260302_181558",19804,2692931233
"Warsaw",2024,2,1704570,3415.26,1.6,-7.09,21.76,2.3,45.87,37.33,1.76,0.28,6.5,90.59,4.22,2.39,2.8,5250429.495,307839,5.86,75.66,2.36,6.88,15.1,224885,22937,1954,58062,10.99,"20260302_181558",19853,2757249037
"Warsaw",2026,1,1704570,3422.54,1.6,-7.17,22.14,2.42,49.91,39.56,0.72,0.56,9.07,94.83,0.58,2.11,2.48,5388592.752,336976,6.25,76.42,2.39,6.84,14.35,229270,23337,6291,78078,10.99,"20260302_181558",19864,2603751244
"Warsaw",2026,2,1704570,3395.86,1.59,-7.62,21.66,2.44,49.59,38.5,1.62,0.59,8.87,91.44,3.81,2.26,2.48,5388592.752,336976,6.25,76.42,2.39,6.84,14.35,229270,23337,6291,78078,10.99,"20260302_181558",19864,2678685461
