"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",2026,2202,2010,1939,1944,-0.0404738400789733
"2","2",4729,2956,4351,2951,3178,-0.327976316345951
"3","3",3481,3497,3280,3235,3072,-0.117494972708992
"4","4",5943,5733,5588,5680,5037,-0.152448258455326
"5","5",2444,2379,2378,2225,2229,-0.0879705400981997
"6","6",1726,1365,1411,1194,1193,-0.308806488991889
"7","7",4983,4954,4900,4813,4889,-0.0188641380694361
"8","8",5133,5095,5244,4798,4841,-0.0568868108318722
"9","9",5324,5197,5282,5086,4328,-0.187077385424493
"10","10",11496,10627,10141,10410,10213,-0.1116040361865
"11","11",3673,3654,4477,3914,3603,-0.0190579907432616
"12","12",2610,2405,2454,2670,2662,0.0199233716475096
"13","13",2262,2329,2292,2251,2456,0.0857648099027409
"14","14",4842,4551,4553,4552,4518,-0.0669144981412639
"15","15",6421,3500,3497,2995,3051,-0.524840367543996
"16","16",4559,4237,4268,5192,5367,0.177231849089713
"17","17",3014,2946,3006,3192,3051,0.0122760451227605
"18","18",6696,3365,6590,6388,7014,0.0474910394265233
"19","19",1331,1503,1323,1221,1221,-0.0826446280991736
"20","20",2403,2196,2278,2304,2187,-0.0898876404494382
"21","21",4269,4369,4377,4737,4722,0.106113843991567
"22","22",2935,2753,2679,2731,2537,-0.135604770017036
"23","23",1068,1164,991,1069,968,-0.0936329588014981
"24","24",1458,1403,1402,1266,1113,-0.236625514403292
"25","25",2201,2062,2069,2212,2213,0.00545206724216265
"26","26",4951,5150,5008,5248,5499,0.110684710159564
"27","27",1284,1206,1327,1670,1696,0.320872274143302
"12744","12744",1284,1206,1327,1670,1696,0.320872274143302
"28","28",1258,1258,1277,1258,1384,0.100158982511924
"29","29",2053,1724,1590,1700,1685,-0.179249878226985
"30","30",3351,3084,3083,2996,2573,-0.232169501641301
"31","31",1165,1115,1085,1090,1099,-0.0566523605150215
"32","32",2813,2793,2899,2959,2907,0.0334162815499467
"33","33",3349,4190,3787,3403,3525,0.0525530008957898
"34","34",5551,5412,5048,5470,5470,-0.0145919654116375
"35","35",1679,1924,1971,1993,1993,0.187016081000596
"36","36",5608,5025,5027,5443,5312,-0.0527817403708987
"37","37",5460,4910,5340,5190,5144,-0.0578754578754579
"38","38",1927,2091,2307,1876,1882,-0.0233523611831863
"39","39",3779,3916,4265,4751,4026,0.0653612066684308
"40","40",1681,1543,1542,1541,1541,-0.083283759666865
"41","41",2366,2494,2494,2919,2623,0.108622147083686
"42","42",2152,2582,2442,2408,2408,0.118959107806691
"43","43",1959,2048,2000,1995,1997,0.0193976518631955
"44","44",2599,2604,2604,2619,2912,0.12043093497499
"45","45",1088,1150,1018,958,936,-0.139705882352941
"46","46",8313,8392,8306,8204,8202,-0.0133525802959221
"47","47",4042,4013,4011,4504,4887,0.209054923305294
"48","48",4396,4234,4246,4707,5016,0.141037306642402
"49","49",5930,5516,5806,6443,5386,-0.0917369308600337
"50","50",5015,4999,5002,4393,4421,-0.118444666001994
"51","51",3043,2970,2859,3169,2924,-0.0391061452513966
"52","52",2001,1808,1891,1938,2144,0.071464267866067
"53","53",4513,4511,4771,4760,4554,0.00908486594283182
"54","54",4252,3812,4110,3900,4584,0.0780809031044215
"55","55",4004,4539,3900,4072,4023,0.00474525474525475
"56","56",7291,6858,6971,7491,7413,0.0167329584419147
"57","57",5696,5341,5054,5171,5178,-0.090941011235955
