"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Zurich",2016,1,724865,7383.22,1.46,0,17.47,88.49,0.94,5.82,4.73,5117170.964,185968,3.63,51.36,1.48,11.72,35.44,67268,76184,0,42516,24.27,"20260226_135029",19934,86760908
"Zurich",2016,2,724865,7317.34,1.44,0,19.59,84.61,5.18,5.64,4.55,5117170.964,185968,3.63,51.36,1.48,11.72,35.44,67268,76184,0,42516,24.27,"20260226_135029",19948,92817410
"Zurich",2016,3,724865,6943.04,1.37,0,20.92,53.85,5.69,37.41,3.03,5117170.964,185968,3.63,51.36,1.48,11.72,35.44,67268,76184,0,42516,24.27,"20260226_135029",19999,153489085
"Zurich",2016,4,724865,6420.21,1.27,0,19.05,32.48,4.69,29.36,33.45,5117170.964,185968,3.63,51.36,1.48,11.72,35.44,67268,76184,0,42516,24.27,"20260226_135029",20000,207350435
"Zurich",2021,1,724865,7175.83,1.41,-2.81,21.87,94.56,0.59,2.14,2.7,5477217.598,260459,4.76,59.3,2.21,9.24,29.25,29102,127730,2169,101457,24.27,"20260226_135029",19994,85484355
"Zurich",2021,2,724865,7055.65,1.39,-3.58,23.49,88.21,6.73,2.33,2.72,5477217.598,260459,4.76,59.3,2.21,9.24,29.25,29102,127730,2169,101457,24.27,"20260226_135029",19998,94842563
"Zurich",2021,3,724865,6805.63,1.34,-1.98,27.16,66.21,7.67,23.71,2.4,5477217.598,260459,4.76,59.3,2.21,9.24,29.25,29102,127730,2169,101457,24.27,"20260226_135029",20000,128134605
"Zurich",2021,4,724865,6457.75,1.28,0.58,30.99,44.77,7.33,21.56,26.33,5477217.598,260459,4.76,59.3,2.21,9.24,29.25,29102,127730,2169,101457,24.27,"20260226_135029",20000,173778716
"Zurich",2026,1,724865,7214.87,1.42,-2.28,24.67,96.58,0.33,1.16,1.91,5635108.693,304589,5.41,64.12,2.21,7.54,26.13,40961,149437,2386,111805,24.27,"20260226_135029",19603,69530164
"Zurich",2026,2,724865,7203.13,1.41,-1.56,26.85,92.52,4.57,1.1,1.8,5635108.693,304589,5.41,64.12,2.21,7.54,26.13,40961,149437,2386,111805,24.27,"20260226_135029",19656,75791387
"Zurich",2026,3,724865,7004.63,1.38,0.89,34.33,75.64,6.06,16.73,1.55,5635108.693,304589,5.41,64.12,2.21,7.54,26.13,40961,149437,2386,111805,24.27,"20260226_135029",19922,100560424
"Zurich",2026,4,724865,6723.28,1.33,4.72,39.62,55.09,5.41,16.59,22.9,5635108.693,304589,5.41,64.12,2.21,7.54,26.13,40961,149437,2386,111805,24.27,"20260226_135029",20000,142197304
