"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",51.9,50.7,40.7,34.8,46.3,45.2,40.8,35.3,49.2,49,40.2,36,7990,8025,7615,6858,8282,8208,7732,6864,8403,8330,7404,6910
"10","10",21.6,21.2,16.9,16,22.9,19,16,16,24.1,23.7,19.8,19,3613,3612,3092,3091,3409,3293,3041,3041,3628,4193,3610,3621
"100","100",57.2,55.2,39.1,34.4,48.5,46.7,41,37,53.5,51.4,45.2,38,8687,8577,7392,6685,7551,7573,7487,7058,7739,7624,7708,7183
"1000","1000",68,64.3,49.8,42.9,59.4,58.3,52.7,46.4,65.4,63,56.7,49.7,10364,10406,9648,8691,9592,9881,9491,8519,10507,9693,9625,8945
"10000","10000",36.1,35.5,28.2,26,35.5,35.3,31.1,27.5,39.9,39.9,36.3,34.9,5175,5211,5249,4846,5234,5156,5124,5259,5503,5508,5434,5781
"10001","10001",40.6,39.1,32.4,28.8,37.7,35.8,32.9,29.9,39.2,39.2,31.7,29.8,6205,6232,6013,5591,6431,6451,6226,5740,6157,6165,5791,5532
"10002","10002",47,45.8,30.2,25.7,37.6,37.2,31.2,29.4,38.6,37.3,34.6,27.1,6761,6528,5851,5149,5755,6061,5173,5129,5318,5314,5274,5000
"10003","10003",53.1,50.7,41.6,32,48.1,46.8,40.3,33.3,54.9,52.5,47.6,38,8074,7992,7557,5997,8110,7553,7175,6158,8547,8215,7555,6509
"10004","10004",63.1,62.6,57,47.9,61.2,55.8,52.4,48.3,59.5,57.6,54.9,52.6,10064,10075,10278,9219,9547,9544,9567,9264,9406,9761,9874,9706
"10005","10005",51.9,51.5,34.6,32.5,44.6,43.2,36.3,34.7,51.4,49.3,40.7,38.2,7293,7238,6467,6313,7358,7347,6531,6543,7530,7451,6538,6511
