"city","road_km","sep_from","paint_from","mixed_from","foot_from","total_from","sep_to","paint_to","mixed_to","foot_to","total_to","period","n_years","yr_from","yr_to","d_sep","d_paint","d_mixed","d_foot","d_total","a_sep","a_paint","a_mixed","a_foot","a_total","new_total","share_new_sep","share_new_paint","share_new_mixed","share_new_foot","pct_road_sep","pct_road_paint","pct_road_mixed","pct_road_foot"
"Austin",5823.913422,52.987,28.82,0,13.182,94.988,77.634,171.743,3.277,12.47,265.124,"2016→2019",3,2016,2019,24.647,142.923,3.277,-0.712,170.136,8.21566666666667,47.641,1.09233333333333,-0.237333333333333,56.712,170.136,0.144866459773358,0.840051488221188,0.0192610617388442,-0.00418488738421028,1.33302118995683,2.94892776652956,0.0562680067945557,0.214117193996982
"Barcelona",3938.472214,149.961,20.811,0.606,22.375,193.754,196.692,1.566,4.505,17.538,220.3,"2016→2019",3,2016,2019,46.731,-19.245,3.899,-4.837,26.546,15.577,-6.415,1.29966666666667,-1.61233333333333,8.84866666666667,26.546,1.76037821140661,-0.724967980109997,0.146877118963309,-0.182212009342274,4.99411927551052,0.0397616109727364,0.114384455576103,0.445299574227236
"Beijing",4793.730643,107.124,5.325,0.789,0.521,113.76,127.019,13.322,12.058,1.068,153.466,"2016→2019",3,2016,2019,19.895,7.997,11.269,0.547,39.706,6.63166666666667,2.66566666666667,3.75633333333333,0.182333333333333,13.2353333333333,39.706,0.501057774643631,0.201405329169395,0.283811010930338,0.0137762554777615,2.64968996924094,0.27790464237813,0.251536869673885,0.0222790990887137
"Berlin",4439.3685,219.94,131.077,28.503,51.824,431.343,226.84,151.205,39.81,49.379,467.234,"2016→2019",3,2016,2019,6.90000000000001,20.128,11.307,-2.445,35.891,2.3,6.70933333333334,3.769,-0.815,11.9636666666667,35.891,0.192248753169319,0.560809116491601,0.315037195954418,-0.0681229277534759,5.10973576534591,3.40600245282634,0.896749166013139,1.11229784146101
"Bogota",8661.99064,128.45,2.06,0.837,81.773,213.12,199.492,6.88,2.264,16.71,225.346,"2016→2019",3,2016,2019,71.042,4.82,1.427,-65.063,12.226,23.6806666666667,1.60666666666667,0.475666666666667,-21.6876666666667,4.07533333333333,12.226,5.81073122852936,0.394241779813512,0.116718468836905,-5.32169147717978,2.30307337298162,0.0794274698038695,0.0261371790168547,0.192911776224224
"Bologna",3288.425756,124.778,2.898,1.557,29.771,159.003,133.988,2.672,0.47,33.689,170.82,"2016→2019",3,2016,2019,9.20999999999999,-0.226,-1.087,3.918,11.817,3.07,-0.0753333333333333,-0.362333333333333,1.306,3.939,11.817,0.779385630870778,-0.0191249894220191,-0.0919861216890919,0.331556232546331,4.07453322476653,0.081254685319403,0.0142925531811824,1.02447196621458
"Brussels",4286.393063,100.99,81.145,4.704,35.361,222.201,124.015,112.19,38.988,31.09,306.283,"2016→2019",3,2016,2019,23.025,31.045,34.284,-4.271,84.082,7.675,10.3483333333333,11.428,-1.42366666666667,28.0273333333333,84.082,0.273839823029899,0.369222901453343,0.407744820532337,-0.0507956518636569,2.89322510038786,2.61735212685977,0.909575940119517,0.725318456404939
"Buenos Aires",4201.713404,130.806,7.818,0,8.711,147.335,171.559,8.402,0,8.147,188.108,"2016→2019",3,2016,2019,40.753,0.584,0,-0.564,40.773,13.5843333333333,0.194666666666667,0,-0.188,13.591,40.773,0.99950947931229,0.0143232040811321,0,-0.0138326833934221,4.08307239224544,0.199966042234136,0,0.1938970895122
"Chicago",7277.639149,18.329,21.419,0,1.088,40.836,10.353,17.045,16.725,10.245,54.368,"2016→2019",3,2016,2019,-7.976,-4.374,16.725,9.157,13.532,-2.65866666666667,-1.458,5.575,3.05233333333333,4.51066666666667,13.532,-0.589417676618386,-0.323233816139521,1.23595920780372,0.676692284954183,0.142257671588768,0.234210568166767,0.229813537846241,0.14077367385559
"Christchurch",3589.655649,75.516,133.953,0,24.837,234.306,80.884,148.403,11.371,46.636,287.294,"2016→2019",3,2016,2019,5.36799999999999,14.45,11.371,21.799,52.988,1.78933333333333,4.81666666666666,3.79033333333333,7.26633333333333,17.6626666666667,52.988,0.101305956065524,0.272703253566845,0.214595757530007,0.411395032837624,2.2532523425341,4.13418484977359,0.316771331622511,1.29917754124944
